D-I College Championships,College - Women ,25,5,2018
Milwaukee,WI,2018-05-25,2018-05-28
https://play.usaultimate.org/events/USA-Ultimate-D-I-College-Championships-2018/schedule/Women/CollegeWomen/
Dartmouth,1
British Columbia,Pittsburgh,15,16,"05/26/2018, 14:30",Pool C,Final
pool,Pool D
Oregon,North Carolina State,11,15,"05/25/2018, 08:30",Pool D,Final
Ohio State,Cornell,15,4,"05/25/2018, 08:30",Pool D,Final
Stanford,Cornell,15,3,"05/25/2018, 12:30",Pool D,Final
Ohio State,North Carolina State,13,9,"05/25/2018, 12:30",Pool D,Final
Stanford,Oregon,14,11,"05/25/2018, 16:30",Pool D,Final
Stanford,Ohio State,12,7,"05/26/2018, 08:30",Pool D,Final
North Carolina State,Cornell,14,9,"05/26/2018, 08:30",Pool D,Final
Oregon,Cornell,15,2,"05/26/2018, 10:30",Pool D,Final
Stanford,North Carolina State,15,8,"05/26/2018, 12:30",Pool D,Final
Oregon,Ohio State,15,9,"05/26/2018, 12:30",Pool D,Final
b,r,e,a,k
brackets,Championship Bracket
bracket,Championship Bracket
Dartmouth,Colorado,15,9,"05/28/2018, 16:00",Finals,Final
Dartmouth,Stanford,12,8,"05/27/2018, 20:00",Semifinals,Final
Pittsburgh,Colorado,12,13,"05/27/2018, 14:30",Semifinals,Final
British Columbia,Dartmouth,9,15,"05/27/2018, 08:30",Quarters,Final
North Carolina,Stanford,8,15,"05/27/2018, 08:30",Quarters,Final
Oregon,Pittsburgh,11,15,"05/27/2018, 08:00",Quarters,Final
Colorado,Texas,12,8,"05/27/2018, 08:00",Quarters,Final
California-San Diego,British Columbia,11,15,"05/26/2018, 17:15",Prequarters,Final
North Carolina,Michigan,15,10,"05/26/2018, 17:15",Prequarters,Final
Oregon,Tufts,15,10,"05/26/2018, 17:15",Prequarters,Final
Colorado,North Carolina State,15,9,"05/26/2018, 17:15",Prequarters,Final
b,r,e,a,k
brackets,Placement Brackets
bracket,Placement Game #1
West Chester,Cornell,15,2,"05/27/2018, 08:30",Placement Game #1,Final
bracket,Placement Game #2
Western Washington,Florida,15,5,"05/26/2018, 17:15",Placement Game #2,Final
bracket,Placement Game #3
Ohio State,California-Santa Barbara,15,7,"05/26/2018, 17:15",Placement Game #3,Final
bracket,Placement Game #4
Whitman,Carleton College,8,15,"05/27/2018, 08:30",Placement Game #4,Final
b,r,e,a,k
