Trouble in Vegas 2018,College - Men ,24,3,2018
Las Vegas,NV,2018-03-24,2018-03-25
https://play.usaultimate.org/events/Trouble-in-Vegas-2018/schedule/Men/CollegeMen/
UCLA,21
North Texas,Utah Valley,9,7,"03/25/2018, 10:00",Round Name,Final
bracket,17th Place
Chico State,California (B),9,6,"03/25/2018, 17:30",17th Place,Final
Chico State,Utah State,10,8,"03/25/2018, 16:00",17SF,Final
California-Santa Cruz,California (B),6,9,"03/25/2018, 10:00",17SF,Final
Cal Poly-Pomona,Chico State,7,9,"03/25/2018, 14:30",17QF,Final
Utah State,New Mexico,9,6,"03/25/2018, 08:30",17QF,Final
Miami,California-Santa Cruz,9,10,"03/25/2018, 08:30",17QF,Final
Sacramento State,California (B),8,9,"03/25/2018, 08:30",17QF,Final
bracket,21st Place
Sacramento State,Cal Poly-Pomona,7,4,"03/25/2018, 11:30",21st Place,Final
Sacramento State,Miami,12,6,"03/25/2018, 10:00",Round Name,Final
New Mexico,Cal Poly-Pomona,8,9,"03/25/2018, 10:00",Round Name,Final
b,r,e,a,k
brackets,Consolation
bracket,25th Place
Occidental,Pacific Lutheran,5,12,"03/26/2018, 02:30",25th Place,Final
Occidental,Grand Canyon,13,8,"03/26/2018, 01:00",25SF,Final
Cal State-Fullerton,Pacific Lutheran,2,13,"03/25/2018, 19:00",25SF,Final
Occidental,Cal Poly-SLO (B),10,3,"03/25/2018, 23:30",25QF,Final
Colorado-Mesa,Grand Canyon,3,13,"03/25/2018, 10:00",25QF,Final
California-Irvine,Cal State-Fullerton,7,8,"03/25/2018, 16:00",25QF,Final
California-Davis (B),Pacific Lutheran,1,13,"03/25/2018, 11:30",25QF,Final
Cal Poly-SLO (B),California-San Diego (B),10,9,"03/25/2018, 16:00",25 Play In,Final
Arizona (B),California-Davis (B),5,8,"03/25/2018, 16:00",25 Play In,Final
bracket,29th Place
Arizona (B),California-Irvine,0,0,"03/25/2018, 20:30",29th Place,Scheduled
California-Davis (B),Arizona (B),6,10,"03/25/2018, 19:00",29SF,Final
California-Irvine,Cal Poly-SLO (B),7,6,"03/25/2018, 13:00",29SF,Final
Arizona (B),Colorado-Mesa,13,4,"03/25/2018, 17:30",29QF,Final
California-San Diego (B),California-Irvine,7,8,"03/25/2018, 17:30",29QF,Final
bracket,Not Last
California-San Diego (B),Colorado-Mesa,6,7,"03/25/2018, 19:00",Not Last,Final
b,r,e,a,k
