HoDown ShowDown XXII,Club - Mixed ,11,8,2018
Asheville,NC,2018-08-11,2018-08-12
https://play.usaultimate.org/events/HoDown ShowDown XXII/schedule/Mixed/Club-Mixed
Murmur,1
bracket,Fifteenth
Goose Lee,BRUH,0,1,"08/12/2018, 15:00",15th Finals,Final
bracket,Semis and Finals (9th) 
Jackpot,Method,11,13,"08/12/2018, 15:00",Finals (9th) ,Final
Jackpot,LoveShack,15,13,"08/12/2018, 13:00",Semis (9th),Final
Moonshine,Method,8,13,"08/12/2018, 13:00",Semis (9th),Final
b,r,e,a,k
clusters,Pisgah Pool
cluster,17th Place Pool
RnB,Liquid Hustle,5,8,"08/12/2018, 11:00",,Final
Carolina Reign,Fifth Element,8,11,"08/12/2018, 11:00",,Final
RnB,Fifth Element,9,7,"08/12/2018, 12:15",,Final
Carolina Reign,Liquid Hustle,1,11,"08/12/2018, 12:15",,Final
RnB,Carolina Reign,10,4,"08/12/2018, 13:30",,Final
Liquid Hustle,Fifth Element,9,4,"08/12/2018, 13:30",,Final
b,r,e,a,k
