D-III Midwestern Invite 2018,College - Men ,17,3,2018
https://play.usaultimate.org/events/D-III-Midwestern-Invite-2018/schedule/Men/CollegeMen/
Air Force,1
Knox,Union (Tennessee),15,6,"03/18/2018, 08:30",9th Place Quarterfinals
Bradley,Belmont,15,8,"03/18/2018, 08:30",9th Place Quarterfinals
Cedarville,Butler,1,0,"03/18/2018, 14:30",9th Place Quarterfinals
bracket,11th Place
Knox,Cedarville,5,15,"03/18/2018, 12:10",11th
bracket,13th Place Bracket
Union (Tennessee),Belmont,1,0,"03/18/2018, 14:00",13th Place
Trine,Union (Tennessee),9,14,"03/18/2018, 10:20",13th Place Semis
Belmont,Butler,1,0,"03/18/2018, 16:20",13th Place Semis
bracket,15th Place Bracket
Trine,Butler,1,0,"03/18/2018, 20:00",15th Place Bracket
b,r,e,a,k
pools,Consolation Pool
pool,Pool E
Coe,Wisconsin-Platteville,7,15,"03/18/2018, 10:20",Pool E
Olivet Nazarene,Grinnell,15,10,"03/18/2018, 10:20",Pool E
Coe,Grinnell,8,15,"03/18/2018, 12:10",Pool E
Olivet Nazarene,Wisconsin-Platteville,15,13,"03/18/2018, 12:10",Pool E
Coe,Olivet Nazarene,7,15,"03/18/2018, 14:00",Pool E
Wisconsin-Platteville,Grinnell,10,11,"03/18/2018, 14:00",Pool E
b,r,e,a,k
clusters,Friday Games
cluster,Friday Games
Michigan Tech,Brandeis,13,7,"03/16/2018, 16:30",
b,r,e,a,k
