Summer Glazed Daze 2018,Club - Mixed ,23,6,2018
Winston-Salem,NC,2018-06-23,2018-06-24
https://play.usaultimate.org/events/Summer-Glazed-Daze-2018/schedule/Mixed/Club-Mixed
Toro,1
Mixed Results,Carolina Reign,11,14,"06/24/2018, 10:30",Quarters,Final
bracket,19th Place
ThunderCats,Carolina Reign,11,6,"06/24/2018, 14:30",19th Place,Final
bracket,21st Place
RnB,Crucible,11,14,"06/24/2018, 14:30",21st Place ,Final
RnB,Stormborn,13,11,"06/24/2018, 12:30",21st Semis ,Final
Crucible,Mixed Results,15,7,"06/24/2018, 12:30",21st Semis ,Final
bracket,23rd Place
Stormborn,Mixed Results,0,0,"06/24/2018, 14:30",23rd Place,Cancelled
b,r,e,a,k
