Midwest Throwdown 2018,College - Men ,3,3,2018
Columbia,MO,2018-03-03,2018-03-04
https://play.usaultimate.org/events/Midwest-Throwdown-2018/schedule/Men/CollegeMen/
Illinois State,4
Iowa State (B),Wisconsin-Oshkosh,11,12,"03/03/2018, 13:30",Pool G,Final
pool,Pool H
Missouri,Wisconsin (C),15,1,"03/03/2018, 09:30",Pool H,Final
Missouri,Washington University (B),15,4,"03/03/2018, 11:30",Pool H,Final
Washington University (B),Wisconsin (C),15,3,"03/03/2018, 13:30",Pool H,Final
Northern Iowa,Washington University (B),14,8,"03/03/2018, 16:30",Pool H,Final
Northern Iowa,Wisconsin (C),15,3,"03/03/2018, 18:30",Pool H,Final
Northern Iowa,Missouri,7,13,"03/03/2018, 20:30",Pool H,Final
b,r,e,a,k
brackets,BP O
bracket,CHAMPIONSHIP O
Washington University,Ohio State,3,15,"03/04/2018, 14:30",FINALS O,Final
Minnesota-Duluth,Washington University,10,11,"03/04/2018, 12:30",SEMIS O,Final
Iowa State,Ohio State,9,11,"03/04/2018, 12:30",SEMIS O,Final
Missouri S&T,Minnesota-Duluth,12,13,"03/04/2018, 10:30",QUARTERS O,Final
Washington University,Carleton College-GoP,11,10,"03/04/2018, 10:30",QUARTERS O,Final
Iowa State,St John's,12,5,"03/04/2018, 10:30",QUARTERS O,Final
Ohio State,Marquette,15,7,"03/04/2018, 10:30",QUARTERS O,Final
Illinois State,Missouri S&T,11,12,"03/04/2018, 08:30",PRE-Q O,Final
Minnesota-Duluth,North Park,13,12,"03/04/2018, 08:30",PRE-Q O,Final
Washington University,Missouri,15,1,"03/04/2018, 08:30",PRE-Q O,Final
Carleton College-GoP,Truman State,15,2,"03/04/2018, 08:30",PRE-Q O,Final
Iowa State,Northern Iowa,15,8,"03/04/2018, 15:30",PRE-Q O,Final
St John's,Missouri State,15,13,"03/04/2018, 08:30",PRE-Q O,Final
Ohio State,Kansas State,15,5,"03/04/2018, 08:30",PRE-Q O,Final
Marquette,Wisconsin-Milwaukee,13,11,"03/04/2018, 08:30",PRE-Q O,Final
bracket,T-5TH PLACE O [1]
Missouri S&T,Carleton College-GoP,11,15,"03/04/2018, 12:30",T-5TH PLACE O [1],Final
bracket,T-5TH PLACE O [2]
St John's,Marquette,6,15,"03/04/2018, 12:30",T-5TH PLACE O [2],Final
bracket,T-9TH PLACE O [1]
Illinois State,Truman State,15,7,"03/04/2018, 14:30",T-9TH PLACE O [1],Final
Illinois State,North Park,15,10,"03/04/2018, 10:30",T-9TH SEMIS O [1],Final
Missouri,Truman State,11,13,"03/04/2018, 10:30",T-9TH SEMIS O [1],Final
bracket,T-9TH PLACE O [2]
Missouri State,Wisconsin-Milwaukee,15,9,"03/04/2018, 14:30",T-9TH PLACE O [2],Final
Northern Iowa,Missouri State,8,13,"03/04/2018, 17:30",T-9TH SEMIS O [2],Final
Kansas State,Wisconsin-Milwaukee,10,11,"03/04/2018, 10:30",T-9TH SEMIS O [2],Final
bracket,T-13TH PLACE O [1]
North Park,Missouri,9,5,"03/04/2018, 14:30",T-13TH PLACE O [1],Final
bracket,T-13TH PLACE O [2]
Northern Iowa,Kansas State,15,14,"03/04/2018, 21:30",T-13TH PLACE O [2],Final
bracket,17TH PLACE O
Luther,Wisconsin (B),15,11,"03/04/2018, 14:30",17TH PLACE O,Final
Wisconsin-Eau Claire,Luther,8,14,"03/04/2018, 12:30",17TH SEMIS O,Final
