Stanford Open 2018,College - Men ,10,2,2018
Morgan Hill,CA,2018-02-10,2018-02-11
https://play.usaultimate.org/events/Stanford-Open-2018/schedule/Men/CollegeMen/
Texas-Dallas,10
Carleton College-GoP,Santa Clara,12,11,"02/11/2018, 12:30",5th Place Semis,Final
Colorado College,California-Davis,12,11,"02/11/2018, 12:30",5th Place Semis,Final
bracket,7th Place
Santa Clara,California-Davis,0,0,"02/11/2018, 14:00",7th Place,Cancelled
bracket,9th Place
Arizona,Chico State,8,9,"02/11/2018, 14:00",9th Place,Final
UCLA,Arizona,10,13,"02/11/2018, 12:30",9th Place Semis,Final
Sonoma State,Chico State,8,11,"02/11/2018, 12:30",9th Place Semis,Final
Northern Arizona,UCLA,6,12,"02/11/2018, 09:30",9th Place Quarters,Final
Whitman,Arizona,8,12,"02/11/2018, 09:30",9th Place Quarters,Final
Sonoma State,Lewis & Clark,10,6,"02/11/2018, 09:30",9th Place Quarters,Final
Claremont,Chico State,10,13,"02/11/2018, 09:30",9th Place Quarters,Final
bracket,11th Place
UCLA,Sonoma State,13,7,"02/11/2018, 14:00",11th Place,Final
bracket,13th Place
Northern Arizona,Whitman,8,11,"02/11/2018, 14:00",13th Place,Final
Northern Arizona,Claremont,11,9,"02/11/2018, 12:30",13th Place Semis,Final
Whitman,Lewis & Clark,13,5,"02/11/2018, 12:30",13th Place Semis,Final
bracket,15th Place
Claremont,Lewis & Clark,6,10,"02/11/2018, 14:00",15th Place,Final
b,r,e,a,k
pools,Sunday Consolation Pools
pool,Pool F
California-Santa Barbara,Cal Poly-Pomona,13,5,"02/11/2018, 08:00",Pool F,Final
Boston College,Cal Poly-Pomona,12,11,"02/11/2018, 09:30",Pool F,Final
California-Santa Barbara,Boston College,11,8,"02/11/2018, 12:30",Pool F,Final
Cal Poly-Pomona,Humboldt State,10,13,"02/11/2018, 19:30",Pool F,Final
Boston College,Humboldt State,10,12,"02/11/2018, 22:00",Pool F,Final
California-Santa Barbara,Humboldt State,12,13,"02/11/2018, 23:30",Pool F,Final
pool,Pool G
Occidental,Sacramento State,13,7,"02/11/2018, 08:00",Pool G,Final
California-Santa Cruz,Nevada-Reno,8,12,"02/11/2018, 08:00",Pool G,Final
Occidental,Nevada-Reno,9,10,"02/11/2018, 09:30",Pool G,Final
California-Santa Cruz,Sacramento State,13,7,"02/11/2018, 09:30",Pool G,Final
Occidental,California-Santa Cruz,5,13,"02/11/2018, 12:30",Pool G,Final
Sacramento State,Nevada-Reno,3,13,"02/11/2018, 12:30",Pool G,Final
pool,Pool H
Stanford (B),California-Irvine,13,12,"02/11/2018, 11:00",Pool H,Final
Stanford (B),Puget Sound,W,F,"02/11/2018, 14:00",Pool H,Final
Puget Sound,California-Irvine,13,4,"02/11/2018, 15:30",Pool H,Final
Puget Sound,San Jose State,10,7,"02/11/2018, 18:00",Pool H,Final
San Jose State,California-Irvine,13,1,"02/11/2018, 21:00",Pool H,Final
Stanford (B),San Jose State,1,3,"02/11/2018, 22:30",Pool H,Final
pool,Pool I
Caltech,Gunn,13,7,"02/11/2018, 11:00",Pool I,Final
California (B),Gunn,12,11,"02/11/2018, 14:00",Pool I,Final
California (B),Caltech,W,F,"02/11/2018, 15:30",Pool I,Final
California (B),California-Santa Barbara (B),13,5,"02/11/2018, 18:00",Pool I,Final
Caltech,California-Santa Barbara (B),W,F,"02/11/2018, 21:00",Pool I,Final
California-Santa Barbara (B),Gunn,F,F,"02/11/2018, 22:30",Pool I,Final
pool,Pool J
Alameda Community Learning Center,Cal Poly-SLO (B),3,13,"02/11/2018, 09:30",Pool J,Final
Alameda Community Learning Center,Berkeley High School,0,13,"02/11/2018, 11:00",Pool J,Final
Berkeley High School,Cal Poly-SLO (B),10,9,"02/11/2018, 14:00",Pool J,Final
Berkeley High School,Texas (B),12,3,"02/11/2018, 16:30",Pool J,Final
Texas (B),Cal Poly-SLO (B),10,11,"02/11/2018, 18:00",Pool J,Final
Alameda Community Learning Center,Texas (B),6,10,"02/11/2018, 21:00",Pool J,Final
b,r,e,a,k
clusters,Crossover: BC vs UNR
cluster,BC vs. UNR
Boston College,Nevada-Reno,11,9,"02/11/2018, 11:00",,Final
b,r,e,a,k
clusters,Caltech vs Stanford B
cluster,Caltech vs Stanford B
Caltech,Stanford (B),13,4,"02/11/2018, 16:00",,Scheduled
b,r,e,a,k
