So Cal Mixed Sectionals,Club - Mixed ,29,8,2015
Riverside,CA,2015-08-29,2015-08-30
https://play.usaultimate.org/events/So-Cal-Mixed-Sectionals-2015/schedule/Mixed/Club-Mixed
Dorado,1
Naughty Love,Nichibei Drift,13,7,"08/29/2015, 09:00",Pool D,Final
Del Sol,Nichibei Drift,10,9,"08/29/2015, 10:45",Pool D,Final
Naughty Love,Remedy,13,10,"08/29/2015, 10:45",Pool D,Final
Del Sol,Naughty Love,7,11,"08/29/2015, 12:30",Pool D,Final
Remedy,Nichibei Drift,13,10,"08/29/2015, 12:30",Pool D,Final
b,r,e,a,k
brackets,Championship Bracket
bracket,Finals
Dorado,7 Figures,6,8,"08/30/2015, 12:30",1st Place,Final
Dorado,Rubix,13,9,"08/30/2015, 09:00",1st Place Semi-Finals,Final
Dauntless,7 Figures,10,13,"08/30/2015, 09:00",1st Place Semi-Finals,Final
Dorado,Instant Karma,15,2,"08/29/2015, 14:30",1st Place Quarter-FInals,Final
Rubix,Naughty Love,11,7,"08/29/2015, 14:30",1st Place Quarter-FInals,Final
Dauntless,Del Sol,13,10,"08/29/2015, 14:30",1st Place Quarter-FInals,Final
Fastlane,7 Figures,2,15,"08/29/2015, 14:30",1st Place Quarter-FInals,Final
b,r,e,a,k
brackets,2nd-5th Place Brackets
bracket,2nd Place Bracket
Dorado,Rubix,1,0,"08/30/2015, 14:15",2nd place/3rd place,Final
Rubix,Dauntless,9,8,"08/30/2015, 12:30",2nd Place Semi-Finals,Final
Rubix,Fastlane,12,8,"08/30/2015, 10:45",2nd Place Quarter-Finals,Final
Instant Karma,Dauntless,8,13,"08/30/2015, 10:45",2nd Place Quarter-Finals,Final
Fastlane,Del Sol,11,9,"08/30/2015, 09:00",2nd Place Pre Quarter-Finals,Final
Naughty Love,Instant Karma,11,12,"08/30/2015, 09:00",2nd Place Pre Quarter-Finals,Final
bracket,4th Place Bracket
Dauntless,Instant Karma,9,8,"08/30/2015, 14:15",4th Place/5th Place,Final
Fastlane,Instant Karma,8,14,"08/30/2015, 12:30",4th Place Semi-Finals,Final
b,r,e,a,k
brackets,6th-12th Place Brackets
bracket,6th-8th Place Bracket
Fastlane,Naughty Love,7,12,"08/30/2015, 14:15",6th/7th place game-to-go,Final
Naughty Love,Crippled Frown Tour,7,2,"08/30/2015, 12:30","6th Place Semi-Finals, loser gets 8th",Final
Naughty Love,Family Style,15,10,"08/30/2015, 10:45",6th Place Quarter-Finals,Final
Crippled Frown Tour,Del Sol,15,8,"08/30/2015, 10:45",6th Place Quarter-Finals,Final
Family Style,Remedy,14,7,"08/30/2015, 09:00",6th Place Pre Quarter-FInals,Final
Crippled Frown Tour,Humphreys,15,4,"08/30/2015, 10:45",6th Place Pre Quarter-FInals,Final
Ozone,Remedy,6,15,"08/30/2015, 09:00",6th Place Play-ins,Final
Nichibei Drift,Crippled Frown Tour,12,14,"08/30/2015, 10:45",6th Place Play-ins,Final
Fiesta,Family Style,6,11,"08/30/2015, 09:00",6th Place Play-ins,Final
bracket,11th-12th Place Bracket
Remedy,Humphreys,12,5,"08/30/2015, 10:45",11th/12th Place,Final
bracket,9th-10th Place Bracket
Family Style,Del Sol,6,9,"08/30/2015, 12:30",9th/10th Place,Final
b,r,e,a,k
pools,Consolation Pool
pool,Pool E
b,r,e,a,k
