Women's College Centex 2015,College - Women ,21,3,2015
Austin,TX,2015-03-21,2015-03-22
https://play.usaultimate.org/events/Womens-College-Centex-2015/schedule/Women/CollegeWomen/
Kansas,12
California-San Diego,Maryland,10,8,"03/21/2015, 09:00",Pool E,Final
Wisconsin,Purdue,10,13,"03/21/2015, 09:00",Pool E,Final
California-San Diego,Purdue,10,11,"03/21/2015, 13:00",Pool E,Final
Wisconsin,Maryland,11,10,"03/21/2015, 13:00",Pool E,Final
California-San Diego,Wisconsin,5,12,"03/21/2015, 15:00",Pool E,Final
Maryland,Purdue,9,13,"03/21/2015, 15:00",Pool E,Final
pool,Pool F
Colorado College,Iowa,13,9,"03/21/2015, 11:00",Pool F,Final
Harvard,Northwestern,12,8,"03/21/2015, 11:00",Pool F,Final
Colorado College,Northwestern,14,6,"03/21/2015, 13:00",Pool F,Final
Harvard,Iowa,9,7,"03/21/2015, 13:00",Pool F,Final
Colorado College,Harvard,14,9,"03/21/2015, 15:00",Pool F,Final
Iowa,Northwestern,15,7,"03/21/2015, 15:00",Pool F,Final
pool,Pool G
MIT,Florida,10,8,"03/21/2015, 09:00",Pool G,Final
Michigan,Minnesota,5,12,"03/21/2015, 09:00",Pool G,Final
MIT,Minnesota,6,11,"03/21/2015, 11:00",Pool G,Final
Michigan,Florida,13,5,"03/21/2015, 11:00",Pool G,Final
MIT,Michigan,7,11,"03/21/2015, 13:00",Pool G,Final
Florida,Minnesota,4,15,"03/21/2015, 13:00",Pool G,Final
b,r,e,a,k
pools,Tier 3
pool,Pool H
Georgia Tech,Texas (B),8,1,"03/21/2015, 09:30",Pool H,Final
South Florida,Colorado (B),8,3,"03/21/2015, 09:30",Pool H,Final
Georgia Tech,South Florida,8,3,"03/21/2015, 11:00",Pool H,Final
Texas State,Colorado (B),11,0,"03/21/2015, 11:00",Pool H,Final
Colorado (B),Texas (B),7,4,"03/21/2015, 12:30",Pool H,Final
Texas State,South Florida,8,2,"03/21/2015, 12:30",Pool H,Final
Georgia Tech,Colorado (B),9,6,"03/21/2015, 14:00",Pool H,Final
Texas State,Texas (B),11,0,"03/21/2015, 14:00",Pool H,Final
Georgia Tech,Texas State,3,9,"03/21/2015, 15:30",Pool H,Final
South Florida,Texas (B),8,5,"03/21/2015, 15:30",Pool H,Final
pool,Pool I
Wisconsin-Eau Claire,Miami,9,4,"03/21/2015, 09:30",Pool I,Final
Texas A&M,Florida (B),11,2,"03/21/2015, 09:30",Pool I,Final
Wisconsin-Eau Claire,Texas A&M,3,11,"03/21/2015, 11:30",Pool I,Final
Colorado State,Florida (B),11,0,"03/21/2015, 11:30",Pool I,Final
Florida (B),Miami,3,10,"03/21/2015, 13:30",Pool I,Final
Colorado State,Texas A&M,10,4,"03/21/2015, 13:30",Pool I,Final
Wisconsin-Eau Claire,Florida (B),10,1,"03/21/2015, 15:30",Pool I,Final
Colorado State,Miami,11,0,"03/21/2015, 15:30",Pool I,Final
Wisconsin-Eau Claire,Colorado State,5,7,"03/21/2015, 17:30",Pool I,Final
Texas A&M,Miami,11,2,"03/21/2015, 17:30",Pool I,Final
pool,Pool J
Washington University,Ohio State (B),11,4,"03/21/2015, 09:30",Pool J,Final
Washington University,Texas Christian,9,6,"03/21/2015, 11:30",Pool J,Final
Emory,Texas Christian,9,1,"03/21/2015, 13:30",Pool J,Final
Texas Christian,Trinity,11,2,"03/21/2015, 15:30",Pool J,Final
Emory,Ohio State (B),8,2,"03/21/2015, 15:30",Pool J,Final
Emory,Trinity,11,1,"03/21/2015, 17:30",Pool J,Final
Washington University,Emory,11,5,"03/21/2015, 17:30",Pool J,Final
Texas Christian,Ohio State (B),11,2,"03/21/2015, 17:30",Pool J,Final
Trinity,Ohio State (B),3,9,"03/21/2015, 19:30",Pool J,Final
Washington University,Trinity,11,2,"03/21/2015, 21:30",Pool J,Final
b,r,e,a,k
brackets,CHAMPIONSHIP BRACKET
bracket,CHAMPIONSHIP
Florida State,Kansas,13,3,"03/22/2015, 14:00",FINALS,Final
Florida State,Colorado,13,12,"03/22/2015, 12:00",SEMIFINALS,Final
Kansas,Tufts,11,10,"03/22/2015, 12:00",SEMIFINALS,Final
UCLA,Florida State,8,9,"03/22/2015, 10:00",QUARTERFINALS,Final
Ohio State,Colorado,4,13,"03/22/2015, 10:00",QUARTERFINALS,Final
Kansas,Northeastern,11,6,"03/22/2015, 10:00",QUARTERFINALS,Final
Tufts,Central Florida,12,10,"03/22/2015, 10:00",QUARTERFINALS,Final
bracket,3RD PLACE
Colorado,Tufts,13,7,"03/22/2015, 14:00",3RD PLACE,Final
bracket,5TH PLACE BRACKET
Ohio State,Northeastern,12,11,"03/22/2015, 14:00",5TH PLACE,Final
UCLA,Ohio State,9,10,"03/22/2015, 12:00",5TH PLACE SEMIS,Final
Northeastern,Central Florida,9,8,"03/22/2015, 12:00",5TH PLACE SEMIS,Final
bracket,7TH PLACE GAME
UCLA,Central Florida,11,7,"03/22/2015, 14:00",7TH PLACE,Final
bracket,9TH PLACE BRACKET
Iowa State,Colorado College,5,13,"03/22/2015, 12:00",9TH PLACE,Final
Minnesota,Iowa State,8,9,"03/22/2015, 10:00",9TH PLACE SEMIS,Final
Colorado College,California,10,6,"03/22/2015, 10:00",9TH PLACE SEMIS,Final
Texas,Minnesota,10,12,"03/22/2015, 08:00",9TH PLACE QUARTERS,Final
Iowa State,Rice,11,10,"03/22/2015, 08:00",9TH PLACE QUARTERS,Final
Southern California,Colorado College,4,13,"03/22/2015, 08:00",9TH PLACE QUARTERS,Final
California,Purdue,11,9,"03/22/2015, 08:00",9TH PLACE QUARTERS,Final
bracket,11TH PLACE GAME
Minnesota,California,5,11,"03/22/2015, 12:00",11TH PLACE,Final
bracket,13TH PLACE BRACKET
Texas,Southern California,13,8,"03/22/2015, 12:00",13TH PLACE,Final
Texas,Rice,14,9,"03/22/2015, 10:00",13TH PLACE SEMIS,Final
Southern California,Purdue,10,6,"03/22/2015, 10:00",13TH PLACE SEMIS,Final
bracket,15TH PLACE
Rice,Purdue,13,11,"03/22/2015, 12:00",15TH PLACE,Final
b,r,e,a,k
brackets,17TH PLACE BRACKET
bracket,17TH PLACE BRACKET
Fryz Ultimate,Wisconsin,8,13,"03/22/2015, 20:00",17TH PLACE,Final
Michigan,Fryz Ultimate,6,13,"03/22/2015, 16:00",17TH PLACE SEMIS,Final
MIT,Wisconsin,5,10,"03/22/2015, 10:00",17TH PLACE SEMIS,Final
Michigan,Iowa,10,8,"03/22/2015, 08:00",17TH PLACE QUARTERS,Final
Fryz Ultimate,California-San Diego,12,7,"03/22/2015, 14:00",17TH PLACE QUARTERS,Final
Harvard,MIT,8,9,"03/22/2015, 08:00",17TH PLACE QUARTERS,Final
Wisconsin,Nebraska,9,5,"03/22/2015, 08:00",17TH PLACE QUARTERS,Final
bracket,19TH PLACE GAME
Michigan,MIT,10,8,"03/22/2015, 14:00",19TH PLACE,Final
bracket,21ST PLACE BRACKET
California-San Diego,Harvard,0,1,"03/22/2015, 14:00",21ST PLACE,Final
Iowa,California-San Diego,6,10,"03/22/2015, 10:00",21ST PLACE SEMIS,Final
Harvard,Nebraska,7,6,"03/22/2015, 10:00",21ST PLACE SEMIS,Final
bracket,23RD PLACE GAME
Iowa,Nebraska,0,0,"03/22/2015, 14:00",23RD PLACE GAME,Final
b,r,e,a,k
brackets,25TH PLACE BRACKET
bracket,25TH PLACE BRACKET
Chicago,Maryland,9,8,"03/22/2015, 14:00",25TH PLACE,Final
Emory,Chicago,9,12,"03/22/2015, 12:00",25TH PLACE SEMIS,Final
Northwestern,Maryland,7,12,"03/22/2015, 12:00",25TH PLACE SEMIS,Final
Florida,Emory,7,9,"03/22/2015, 08:00",25TH PLACE QUARTERS,Final
Chicago,Texas State,11,9,"03/22/2015, 08:00",25TH PLACE QUARTERS,Final
Northwestern,Washington University,13,12,"03/22/2015, 08:00",25TH PLACE QUARTERS,Final
Maryland,Colorado State,8,7,"03/22/2015, 08:00",25TH PLACE QUARTERS,Final
bracket,27TH PLACE GAME
Emory,Northwestern,0,0,"03/22/2015, 15:00",27TH PLACE GAME,Final
bracket,29TH PLACE BRACKET
Texas State,Washington University,2,9,"03/22/2015, 14:00",29TH PLACE,Final
Florida,Texas State,9,12,"03/22/2015, 12:00",29TH PLACE SEMIS,Final
Washington University,Colorado State,12,6,"03/22/2015, 12:00",29TH PLACE SEMIS,Final
bracket,31ST PLACE GAME
Florida,Colorado State,8,7,"03/22/2015, 14:00",31ST PLACE,Final
b,r,e,a,k
brackets,33RD PLACE BRACKET
bracket,33RD PLACE BRACKET
Georgia Tech,Wisconsin-Eau Claire,10,12,"03/22/2015, 12:30",33RD PLACE,Final
Texas A&M,Georgia Tech,10,11,"03/22/2015, 10:30",33RD PLACE SEMIS,Final
South Florida,Wisconsin-Eau Claire,6,13,"03/22/2015, 10:30",33RD PLACE SEMIS,Final
bracket,37TH PLACE BRACKET
Texas Christian,Ohio State (B),13,3,"03/22/2015, 14:30",37TH PLACE,Final
Texas Christian,Colorado (B),10,3,"03/22/2015, 12:30",37TH PLACE SEMIS,Final
Ohio State (B),Miami,10,9,"03/22/2015, 12:30",37TH PLACE SEMIS,Final
bracket,35TH PLACE
Texas A&M,South Florida,1,0,"03/22/2015, 15:00",35TH PLACE,Final
bracket,39TH PLACE
Colorado (B),Miami,1,0,"03/22/2015, 15:00",39TH PLACE,Final
b,r,e,a,k
clusters,Sunday Crossovers
cluster,Sunday Crossovers
Texas (B),Florida (B),2,13,"03/22/2015, 14:30",,Final
Florida (B),Trinity,15,5,"03/22/2015, 16:30",,Final
Texas (B),Trinity,13,4,"03/22/2015, 18:30",,Final
b,r,e,a,k
