Cooler Classic 34,Club - Mixed ,19,8,2023
Hartland,WI,2023-08-19,2023-08-20
https://play.usaultimate.org/events/Cooler-Classic-34/schedule/Mixed/Club-Mixed
Chicago Parlay,1
84,Vincent Hsu
88,Chris Sykes
94,Derek Weisberg
99,Annabelle Sobotik
b,r,e,a,k
PanIC,27
teamInfo,,"Iowa City, Iowa",,,https://twitter.com/panic_ultimate
0,Dustin Ewalt
0,Janeanne Levenstein
0,Max Swinton
0,Nadir Nimry
0,Piper Seals
0,Sara Suri
0,Sumner Wallace
1,Jack Swanson
1,Jacob Arnold
3,Timothy Benedict
8,Jordan Keller-Wilson
10,Kristin Turk
12,Mike Keller-Wilson
15,Marissa Lyon
20,Cameron Flores
23,Allyson McNall
25,Christopher Ryan
26,Hannah Prosch
27,Lucas Boyle
28,Alex Gustafson
33,Sean Fjellman
42,Emily Hill
64,Jacob Hoyle
69,Gayle Yii
b,r,e,a,k
The Force,23
teamInfo,,"Minneapolis, Minnesota",,,
0,Albert Wu
0,Amanda Huber
0,Andrew Little
0,April Strzelczyk Haverstock
0,Chizoba Anosike
0,Ella Mullin
0,Grace Liebl
0,Grace Taylor
0,Ilian Decorte
0,Jesse Stratton
0,Laura Kiernan
0,Russell Smith
0,Stephanie Pieper
0,Sydney Pomish
0,Tyler Haverstock
0,Zoe Bakken-Heck
0,Matthew Lingam
3,Remy Eisendrath
3,Andrew Pipp
13,Gabriel Driscoll
25,Anna Schmalzel
34,Louis Stein
42,Malik Earle
46,Miriam Tibbetts
68,Cameron Dolbow
b,r,e,a,k
Mad City Vibes,26
teamInfo,,"Madison, Wisconsin",http://madcityvibes.com/,https://www.facebook.com/madcityvibes,
0,Beau Berger
0,Flynn Vogt
0,Hannah Segaloff
01,Ramsey Rossmann
02,Theresa Olson
08,Ryan Sokup
11,Alex Piff
14,Anna Robinson
18,Anna Jenstead
20,Jordyn Mroczenski
20,Natalie  Levine
21,Jake Illing
23,Jayd Phelps
24,Peter Tavolacci
27,Ali Kane
28,Megan Sokup
30,Aaron Michaud
38,Grant Hallan
42,Bryan Ritter
56,Blair Fogeltanz
63,Kevin Lyles
67,Caleb Main
71,Sean Cassidy
86,Matt LaFever
b,r,e,a,k
s,t,a,g,e,s
pools,T1 Pools
pool,Pool A
Minnesota Star Power,Spectre,13,9,"08/19/2023, 09:00",Pool A,Final
Chicago Parlay,Mad Udderburn,12,7,"08/19/2023, 10:45",Pool A,Final
Chicago Parlay,Spectre,13,1,"08/19/2023, 12:30",Pool A,Final
Minnesota Star Power,Mad Udderburn,10,8,"08/19/2023, 12:30",Pool A,Final
Chicago Parlay,Minnesota Star Power,13,6,"08/19/2023, 14:15",Pool A,Final
Mad Udderburn,Spectre,10,7,"08/19/2023, 14:15",Pool A,Final
pool,Pool B
No Touching!,Melt,13,5,"08/19/2023, 09:00",Pool B,Final
Bird,Risky Business,8,11,"08/19/2023, 09:00",Pool B,Final
No Touching!,Risky Business,13,7,"08/19/2023, 10:45",Pool B,Final
Bird,Melt,10,6,"08/19/2023, 10:45",Pool B,Final
No Touching!,Bird,13,6,"08/19/2023, 12:30",Pool B,Final
Melt,Risky Business,10,12,"08/19/2023, 14:15",Pool B,Final
b,r,e,a,k
pools,T2 Pools
pool,Pool C
Madison United Mixed Ultimate,Pushovers,13,9,"08/19/2023, 09:00",Pool C,Final
Pandamonium,Pushovers,8,11,"08/19/2023, 10:45",Pool C,Final
Pandamonium,Madison United Mixed Ultimate,11,7,"08/19/2023, 12:30",Pool C,Final
pool,Pool D
Northern Comfort,Underdogs,13,3,"08/19/2023, 09:00",Pool D,Final
Mousetrap,Underdogs,13,5,"08/19/2023, 10:45",Pool D,Final
Mousetrap,Northern Comfort,11,12,"08/19/2023, 12:30",Pool D,Final
pool,Pool E
Lake Superior Disc,Stackcats,6,13,"08/19/2023, 09:00",Pool E,Final
Jabba,Stackcats,10,9,"08/19/2023, 10:45",Pool E,Final
Jabba,Lake Superior Disc,13,6,"08/19/2023, 12:30",Pool E,Final
pool,Pool F
Great Minnesota Get Together,Frostbite,10,5,"08/19/2023, 09:00",Pool F,Final
Point of No Return,Frostbite,10,7,"08/19/2023, 10:45",Pool F,Final
Point of No Return,Great Minnesota Get Together,13,7,"08/19/2023, 12:30",Pool F,Final
b,r,e,a,k
brackets,Pool G
bracket,Pool G Top
Prion,Locomotion,11,8,"08/19/2023, 10:45",G 2nd Round,Final
Prion,Arms Race,11,6,"08/19/2023, 09:00",G 1st Round,Final
Locomotion,Mastodon,7,5,"08/19/2023, 09:00",G 1st Round,Final
bracket,Pool G Bottom
Arms Race,Mastodon,6,13,"08/19/2023, 10:45",Lower G 2nd Round,Final
b,r,e,a,k
brackets,Pool H
bracket,Pool H Top
Boomtown Pandas,PanIC,10,7,"08/19/2023, 10:45",H 2nd Round,Final
Boomtown Pandas,The Force,10,9,"08/19/2023, 09:00",H 1st Round,Final
Mad City Vibes,PanIC,9,11,"08/19/2023, 09:00",H 1st Round,Final
bracket,Pool H Bottom
The Force,Mad City Vibes,13,5,"08/19/2023, 09:00",Lower H 2nd Round,Final
b,r,e,a,k
clusters,Crossovers
cluster,Crossovers
Northern Comfort,Madison United Mixed Ultimate,10,4,"08/19/2023, 14:15",,Final
Point of No Return,Stackcats,13,11,"08/19/2023, 14:15",,Final
Jabba,Great Minnesota Get Together,10,6,"08/19/2023, 14:15",,Final
Pandamonium,Mousetrap,8,9,"08/19/2023, 14:15",,Final
Pushovers,Locomotion,13,3,"08/19/2023, 14:15",,Final
Frostbite,Prion,7,11,"08/19/2023, 14:15",,Final
Lake Superior Disc,Boomtown Pandas,5,13,"08/19/2023, 14:15",,Final
Underdogs,The Force,5,15,"08/19/2023, 14:15",,Final
Mastodon,Mad City Vibes,10,6,"08/19/2023, 14:15",,Final
PanIC,Arms Race,10,7,"08/19/2023, 14:15",,Final
b,r,e,a,k
brackets,1st Place
