HoDown Showdown 2023,Club - Mixed ,12,8,2023
Asheville,NC,2023-08-12,2023-08-13
https://play.usaultimate.org/events/HoDown-Showdown-2023/schedule/Mixed/Club-Mixed
Dirty Bird,1
Memphis STAX,Magnanimouse,4,14,"08/12/2023, 09:00",Pool B,Final
m'kay Ultimate,Memphis STAX,12,6,"08/12/2023, 10:45",Pool B,Final
Dizzy Kitty,Magnanimouse,11,9,"08/12/2023, 10:45",Pool B,Final
Magnanimouse,Pickles,15,5,"08/12/2023, 12:30",Pool B,Final
Dizzy Kitty,Memphis STAX,11,9,"08/12/2023, 12:30",Pool B,Final
m'kay Ultimate,Magnanimouse,13,8,"08/12/2023, 14:15",Pool B,Final
Dizzy Kitty,Pickles,15,3,"08/12/2023, 14:15",Pool B,Final
m'kay Ultimate,Dizzy Kitty,0,0,"08/12/2023, 16:00",Pool B,Cancelled
Memphis STAX,Pickles,0,0,"08/12/2023, 16:00",Pool B,Cancelled
pool,Pool C
Roma Ultima,Rampage,15,0,"08/12/2023, 09:00",Pool C,Final
Too Much Fun,Brunch Club,12,10,"08/12/2023, 09:00",Pool C,Final
Roma Ultima,Too Much Fun,15,10,"08/12/2023, 10:45",Pool C,Final
Moontower,Brunch Club,8,11,"08/12/2023, 10:45",Pool C,Final
Brunch Club,Rampage,15,5,"08/12/2023, 12:30",Pool C,Final
Moontower,Too Much Fun,8,15,"08/12/2023, 12:30",Pool C,Final
Roma Ultima,Brunch Club,15,7,"08/12/2023, 14:15",Pool C,Final
Moontower,Rampage,15,3,"08/12/2023, 14:15",Pool C,Final
Roma Ultima,Moontower,0,0,"08/12/2023, 16:00",Pool C,Cancelled
Too Much Fun,Rampage,0,0,"08/12/2023, 16:00",Pool C,Cancelled
pool,Pool D
Malice in Wonderland,Flood Zone,15,3,"08/12/2023, 09:00",Pool D,Final
FlyTrap,Verdant,11,12,"08/12/2023, 09:00",Pool D,Final
Malice in Wonderland,FlyTrap,13,12,"08/12/2023, 10:45",Pool D,Final
Crown Peach,Verdant,15,4,"08/12/2023, 10:45",Pool D,Final
Verdant,Flood Zone,14,8,"08/12/2023, 12:30",Pool D,Final
Crown Peach,FlyTrap,12,11,"08/12/2023, 12:30",Pool D,Final
Malice in Wonderland,Verdant,15,6,"08/12/2023, 14:15",Pool D,Final
Crown Peach,Flood Zone,14,4,"08/12/2023, 14:15",Pool D,Final
Malice in Wonderland,Crown Peach,0,0,"08/12/2023, 16:00",Pool D,Cancelled
FlyTrap,Flood Zone,0,0,"08/12/2023, 16:00",Pool D,Cancelled
b,r,e,a,k
brackets,Championship
bracket,Championship
