2021 U.S. Open Club Championships,Club - Men ,7,8,2021
Blaine,MN,2021-08-06,2021-08-09
https://play.usaultimate.org/events/2021-US-Open-Club-Championships/schedule/Men/Club-Men/
Sockeye,1
Sockeye,Chicago Machine,15,12,"08/08/2021, 13:30",Finals,Final
Sockeye,Sub Zero,15,12,"08/08/2021, 10:45",Semifinals,Final
Chain Lightning,Chicago Machine,10,15,"08/08/2021, 10:45",Semifinals,Final
Sockeye,SoCal Condors,15,10,"08/08/2021, 08:30",Quarterfinals,Final
PoNY,Sub Zero,12,14,"08/08/2021, 08:30",Quarterfinals,Final
Rhino Slam!,Chain Lightning,12,15,"08/08/2021, 08:30",Quarterfinals,Final
Truck Stop,Chicago Machine,13,15,"08/08/2021, 08:30",Quarterfinals,Final
Sockeye,Cryptic,15,4,"08/07/2021, 17:15",Round of 16,Final
SoCal Condors,Yogosbo,15,14,"08/07/2021, 17:15",Round of 16,Final
Emerald City,PoNY,9,15,"08/07/2021, 17:15",Round of 16,Final
Inception,Sub Zero,10,15,"08/07/2021, 17:15",Round of 16,Final
Rhino Slam!,Knights of Ni,15,3,"08/07/2021, 17:15",Round of 16,Final
Chain Lightning,Black Market I,15,5,"08/07/2021, 17:15",Round of 16,Final
DiG,Truck Stop,10,15,"08/07/2021, 17:15",Round of 16,Final
Mallard,Chicago Machine,6,15,"08/07/2021, 17:15",Round of 16,Final
bracket,3rd Place
Sub Zero,Chain Lightning,6,11,"08/08/2021, 13:00",3rd Place,Final
bracket,5th Place Bracket
SoCal Condors,Truck Stop,13,15,"08/08/2021, 13:00",5th Place,Final
SoCal Condors,PoNY,14,9,"08/08/2021, 10:45",5th Place Semifinals,Final
Rhino Slam!,Truck Stop,13,15,"08/08/2021, 10:45",5th Place Semifinals,Final
bracket,7th Place
PoNY,Rhino Slam!,15,12,"08/08/2021, 13:00",7th Place,Final
b,r,e,a,k
brackets,Placement Play
bracket,9th Place Bracket
Emerald City,DiG,5,15,"08/08/2021, 13:00",9th Place,Final
Yogosbo,Emerald City,13,14,"08/08/2021, 10:45",9th Semifinals,Final
Black Market I,DiG,8,15,"08/08/2021, 10:45",9th Semifinals,Final
Cryptic,Yogosbo,5,15,"08/08/2021, 08:30",9th Quarterfinals,Final
Emerald City,Inception,15,11,"08/08/2021, 08:30",9th Quarterfinals,Final
Knights of Ni,Black Market I,9,15,"08/08/2021, 08:30",9th Quarterfinals,Final
DiG,Mallard,15,11,"08/08/2021, 08:30",9th Quarterfinals,Final
bracket,11th Place
Yogosbo,Black Market I,0,0,"08/08/2021, 13:00",11th Place,Cancelled
bracket,T-13th Bracket
Inception,Mallard,0,0,"08/08/2021, 13:00",T-13th Place,Scheduled
Inception,Overdrive,15,7,"08/08/2021, 10:45",13th Quarterfinals A,Final
Surly,Mallard,7,15,"08/08/2021, 10:45",13th Quarterfinals A,Final
bracket,T-13th Bracket
Flash Flood,Knights of Ni,0,0,"08/08/2021, 13:00",T-13th Bracket,Scheduled
Cryptic,Flash Flood,8,14,"08/08/2021, 10:45",13th Quarterfinals B,Final
Mallard II,Knights of Ni,9,15,"08/08/2021, 10:45",13th Quarterfinals B,Final
