Mid-Atlantic Men's Club Regional Championship 2021,Club - Men ,25,9,2021
Frederica,DE,2021-09-25,2021-09-26
https://play.usaultimate.org/events/Mid-Atlantic-Mens-Club-Regional-Championship-2021/schedule/Men/Club-Men/
Truck Stop,1
26,Samuel Swenson-Reinhold
27,Jonathan Bresee
52,Benjamin Masse
b,r,e,a,k
Pittsburgh Stealers,13
teamInfo,,"Pittsburgh, Pennsylvania",,,
0,Connor Dickey
0,Mahith Edula
0,Reid Duncan
0,Ryan Mann
0,Ryan Harty
0,Spencer Matonis
0,Thomas Hansen
0,Tony Thomas
0,Zachary Hall
1,Max Sheppard
2,Matthew Booker
6,Zachary Esakof
8,Wyatt Krisky
11,Joey Wang
12,Eric Ricci
20,Peter Zaccardi
20,Samuel Moller
31,Max Barowski
32,Steven Mogielski
44,Andrew Gardner
69,Nicholas Nagel
72,Jackson Trone
88,Matt Reynolds
b,r,e,a,k
JAWN,14
teamInfo,,"Philadelphia, Pennsylvania",,,https://twitter.com/JAWN_Ultimate
0,Andrew Kelly
0,Andrew Ngo
0,Avery Campbell
0,Benjamin Cozzolino
0,Igor Smola
0,John Mikitsh
0,Leonid Smola
0,Matthew Kirk
0,Michael Kalika
0,Sandeep Dilip
0,William Shutt
0,Zack Eskin
2,Evan Maynard
3,Joshua Fieseher
8,Evan Kashan
9,Sam Gilden-Weiner
10,Adriene Khon
16,Patrick Kelly
21,Paul Anouna
22,Evan Novacek
24,Vanshil Thakkar
25,Edward Brakoniecki
32,Robert Walker
39,Michael Facinelli
88,Jacob Kesselman
89,Joshua Heacock
b,r,e,a,k
Watchdogs,11
teamInfo,,"Bethesda, Maryland",,https://www.facebook.com/pages/Watch-Dogs-Ultimate/250140035159441?fref=nf,
coaches,Andrew Nguyen
0,Christopher King
0,Conor Tidgewell
0,Eric Yoon
0,Gregory Cho
0,Isaac Lee
0,Nick Bravos
0,Xavier Maxstadt
2,Bradley Tinney
3,Hyosam Jeon
3,Nathan Wells
7,Andrew Nguyen
8,John Walden
14,Devin Holland
14,Ryan Ward
15,Joshua Bransford
18,Joe Dweck
19,Kyle Morgan
21,Miles Grovic
21,Zachery Parker
22,James Zhu
24,Tyler Byrum
28,Matthew Thornton
32,Sasha Frank-Stempel
34,Austin Do
51,Alexander Daley
85,Gabe Vordick
b,r,e,a,k
CITYWIDE Special,10
teamInfo,,"Philadelphia, Pennsylvania",,https://www.facebook.com/citywidespecial/,https://twitter.com/cwultimate
0,Alex Howard
0,Chris Zaleski
1,Colin McIntyre
2,Donovan Hugel
7,Peter Cauchy
8,Joe Donovan
10,Josh Lane
12,Wilson Dodds
13,Jack Steketee
14,Chris Dixon
16,Matthew Michelson
17,Jeffrey Zhou
19,Brian Carney
20,David Baer
22,Ferry Akbar Buchanan
23,Jordan Ciccarone
24,Doug Hoyer
27,Matthew Brenfleck
29,Chris Vanni
36,Boris Li
37,Max Chen
47,Nathaniel Hess
72,Andrew Haviland
77,Matt Krauss
80,Christopher Cruz
93,Daniel Wickens
b,r,e,a,k
Town Hall Stars,15
teamInfo,,"College Park, Maryland",,,
0,Alexander Kerr
0,Drew Herring
0,Grant Simons
0,Ian Decker
0,Kaiwen Song
0,Kevin Ludwig
0,Kevin Shen
0,Michael He
0,Raymond Tann
0,Taylor Knapp
0,Tom Noll
2,Luke Pascale
2,Jacob  Sheedy
5,Charles Boulton
6,Jonathan Gong
8,Joel Maiman
12,Jacob Schwartz
14,Mac Keller
15,Vincent Zhong
19,Jacob Mannes
25,Aaron Lavitsky
30,Tejas Mavanur
32,Austin Chau
41,Cole Atkins
51,Daniel Niezelski
57,Daniel Oxman
b,r,e,a,k
s,t,a,g,e,s
brackets,Bracket Play
bracket,Championship
Truck Stop,Vault,15,7,"09/26/2021, 12:00",Finals,Final
Truck Stop,Garden State Ultimate,15,10,"09/25/2021, 14:00",Semis,Final
Vault,Phantom,15,11,"09/25/2021, 14:00",Semis,Final
Truck Stop,Oakgrove Boys,13,4,"09/25/2021, 12:00",Quarters,Final
Phoenix F.C.,Garden State Ultimate,10,13,"09/25/2021, 12:00",Quarters,Final
Vault,Rumspringa,13,2,"09/25/2021, 12:00",Quarters,Final
Phantom,Pittsburgh Temper,13,12,"09/25/2021, 12:00",Quarters,Final
Truck Stop,Helots,13,3,"09/25/2021, 10:00",First Round,Final
SORD,Oakgrove Boys,9,13,"09/25/2021, 10:00",First Round,Final
Phoenix F.C.,Fathom,13,5,"09/25/2021, 10:00",First Round,Final
Pittsburgh Stealers,Garden State Ultimate,6,13,"09/25/2021, 10:00",First Round,Final
Vault,JAWN,13,3,"09/25/2021, 10:00",First Round,Final
Watchdogs,Rumspringa,6,13,"09/25/2021, 10:00",First Round,Final
Phantom,CITYWIDE Special,13,6,"09/25/2021, 10:00",First Round,Final
Town Hall Stars,Pittsburgh Temper,5,13,"09/25/2021, 10:00",First Round,Final
bracket,2nd Place
Vault,Pittsburgh Temper,11,14,"09/26/2021, 14:00",Finals,Final
Pittsburgh Temper,Phantom,15,11,"09/26/2021, 12:00",Semis,Final
Pittsburgh Temper,Garden State Ultimate,15,8,"09/26/2021, 10:00",Quarters,Final
Phoenix F.C.,Phantom,10,15,"09/26/2021, 10:00",Quarters,Final
Pittsburgh Temper,Rumspringa,13,0,"09/25/2021, 16:00",3rd Round,Final
Phoenix F.C.,Oakgrove Boys,13,10,"09/25/2021, 16:00",3rd Round,Final
Pittsburgh Temper,SORD,13,7,"09/25/2021, 14:00",2nd Round,Final
