2021 USA Ultimate Masters Championships,Masters - Mixed ,16,7,2021
Aurora,CO,2021-07-16,2021-07-18
https://play.usaultimate.org/events/2021-USA-Ultimate-Masters-Championships/schedule/Mixed/Masters-Mixed/
Slower,1
SOS,Old Pueblo,14,6,"07/16/2021, 10:30",Pool G,Final
SOS,Distilled Fink,15,7,"07/16/2021, 12:30",Pool G,Final
pool,Pool H
Snowbirds,Old Rush,12,10,"07/16/2021, 08:30",Pool H,Final
Shipwreck,Old Rush,14,8,"07/16/2021, 10:30",Pool H,Final
Shipwreck,Snowbirds,8,12,"07/16/2021, 12:30",Pool H,Final
b,r,e,a,k
clusters,Crossover Play
cluster,Crossover Play
Antiques Roadshow,Old Fashioned,15,3,"07/16/2021, 14:30",,Final
Pizza Rats and Bodega Cats,GRUMP,13,8,"07/16/2021, 14:30",,Final
Smice Cream,Salty Action,14,8,"07/16/2021, 14:30",,Final
Pittsburgh Iron City Ultimate,Hoarse and Draggin',9,12,"07/16/2021, 14:30",,Final
Run Like The Winded,Old Rush,8,10,"07/16/2021, 14:30",,Final
Old Money,Old Pueblo,11,8,"07/16/2021, 14:30",,Final
Distilled Fink,Bust,12,10,"07/16/2021, 14:30",,Final
Shipwreck,Default,12,8,"07/16/2021, 14:30",,Final
b,r,e,a,k
brackets,Championship Bracket
bracket,1st Place Bracket
Slower,Descent,13,9,"07/18/2021, 09:30",Finals,Final
Slower,Members Only,13,6,"07/17/2021, 14:30",Semifinals,Final
Descent,SOS,13,11,"07/17/2021, 14:30",Semifinals,Final
Slower,Snowbirds,13,8,"07/17/2021, 10:30",Quarterfinals,Final
Members Only,512,10,6,"07/17/2021, 10:30",Quarterfinals,Final
Old #7,Descent,11,12,"07/17/2021, 10:30",Quarterfinals,Final
SOS,Hey Babe,13,9,"07/17/2021, 10:30",Quarterfinals,Final
Slower,Pizza Rats and Bodega Cats,15,3,"07/17/2021, 08:30",Pre-Quarterfinals,Final
Snowbirds,Distilled Fink,15,6,"07/17/2021, 08:30",Pre-Quarterfinals,Final
Members Only,Old Money,14,8,"07/17/2021, 08:30",Pre-Quarterfinals,Final
512,Smice Cream,15,8,"07/17/2021, 08:30",Pre-Quarterfinals,Final
Old #7,Hoarse and Draggin',15,0,"07/17/2021, 08:30",Pre-Quarterfinals,Final
Descent,Old Rush,15,6,"07/17/2021, 08:30",Pre-Quarterfinals,Final
SOS,Shipwreck,13,8,"07/17/2021, 08:30",Pre-Quarterfinals,Final
Hey Babe,Antiques Roadshow,9,6,"07/17/2021, 08:30",Pre-Quarterfinals,Final
bracket,3rd Place
Members Only,SOS,10,13,"07/18/2021, 09:00",3rd Place,Final
bracket,5th Place Bracket
Snowbirds,Old #7,8,14,"07/18/2021, 09:00",5th Place Finals,Final
Snowbirds,512,12,8,"07/17/2021, 14:30",Semifinals,Final
Old #7,Hey Babe,15,8,"07/17/2021, 14:30",Semifinals,Final
bracket,7th Place
512,Hey Babe,11,14,"07/18/2021, 09:00",7th Place,Final
b,r,e,a,k
brackets,9th Place Bracket
bracket,9th Place Bracket
Pizza Rats and Bodega Cats,Shipwreck,13,12,"07/18/2021, 09:00",9th Place Finals,Final
Pizza Rats and Bodega Cats,Smice Cream,13,11,"07/17/2021, 16:30",9th Place Semifinals,Final
Old Rush,Shipwreck,7,15,"07/17/2021, 16:30",9th Place Semifinals,Final
Pizza Rats and Bodega Cats,Distilled Fink,13,6,"07/17/2021, 12:30",9th Place Quarterfinals,Final
Old Money,Smice Cream,7,12,"07/17/2021, 12:30",9th Place Quarterfinals,Final
Hoarse and Draggin',Old Rush,6,9,"07/17/2021, 12:30",9th Place Quarterfinals,Final
Shipwreck,Antiques Roadshow,12,9,"07/17/2021, 12:30",9th Place Quarterfinals,Final
bracket,11th Place
Smice Cream,Old Rush,12,10,"07/18/2021, 09:00",11th Place,Final
bracket,13th Place Bracket
Distilled Fink,Antiques Roadshow,8,15,"07/18/2021, 09:00",13th Place Finals,Final
Distilled Fink,Old Money,7,6,"07/17/2021, 16:30",13th Place Semifinals,Final
Hoarse and Draggin',Antiques Roadshow,7,15,"07/17/2021, 16:30",13th Place Semifinals,Final
bracket,15th Place
Old Money,Hoarse and Draggin',15,9,"07/18/2021, 09:00",15th Place,Final
b,r,e,a,k
brackets,17th Place Bracket
bracket,17th Place Bracket
Default,GRUMP,7,13,"07/18/2021, 09:00",17th Place Finals,Final
Default,Run Like The Winded,12,11,"07/17/2021, 12:30",17th Place Semifinals,Final
Salty Action,GRUMP,8,9,"07/17/2021, 12:30",17th Place Semifinals,Final
Old Fashioned,Default,8,11,"07/17/2021, 10:30",17th Place Quarterfinals,Final
Run Like The Winded,Pittsburgh Iron City Ultimate,12,9,"07/17/2021, 10:30",17th Place Quarterfinals,Final
Salty Action,Old Pueblo,11,8,"07/17/2021, 10:30",17th Place Quarterfinals,Final
Bust,GRUMP,8,10,"07/17/2021, 10:30",17th Place Quarterfinals,Final
bracket,19th Place
Run Like The Winded,Salty Action,12,10,"07/18/2021, 09:00",19th Place,Final
bracket,21st Place Bracket
Pittsburgh Iron City Ultimate,Old Pueblo,9,13,"07/18/2021, 09:00",21st Place Finals,Final
Old Fashioned,Pittsburgh Iron City Ultimate,8,12,"07/17/2021, 12:30",21st Place Semifinals,Final
Old Pueblo,Bust,14,9,"07/17/2021, 12:30",21st Place Semifinals,Final
bracket,23rd Place
Old Fashioned,Bust,7,14,"07/18/2021, 09:00",23rd Place,Final
b,r,e,a,k
