Old Capitol Open 2024,College - Men ,30,3,2024
Cedar Rapids,IA,2024-03-30,2024-03-31
https://play.usaultimate.org/events/Old-Capitol-Open-2024/schedule/Men/CollegeMen/
Colorado Mines,1
teamInfo,Fighting Hellfish,"Ypsilanti, Michigan",,,
0,Brendan Moore
0,Robert Cann
0,Sacha Scarabello
0,Trinity Bailey
2,Dylan Williams
6,Parker Henderson
05,Julia Danci
13,Brendan Clancy
17,Nathanael Schlosser
17,Tudor Pascutiu
21,Collin Henig
23,Harrison Kopko
29,Carter Dove
b,r,e,a,k
St John's (Minnesota),16
teamInfo,Minnesota) (BAM,"Collegeville, Minnesota",,https://www.facebook.com/pages/Saint-Johns-Ultimate/169796783097127,https://twitter.com/SJUultimate
coaches,Daniel Bates
0,Aidan McDonell
0,Austin Laing
0,Benjamin Mimick
0,Carter Versaevel
0,Dylan Perrill
0,Finnley PEhl
0,Kason Olson
0,Max Meyer
0,Nick McGrane
0,Nico Demo
0,Noah Zent
0,Ryan Thurk
0,Samuel Zauhar
0,Tom Hobday
0,Tristin Thillmany
24,Marcus Lemos
99,Chenxu Yu
b,r,e,a,k
s,t,a,g,e,s
pools,Pool Play
pool,Pool A
Colorado Mines,Northwestern (B),13,1,"03/30/2024, 09:00",Pool A,Final
Minnesota (B),Wisconsin-Milwaukee (B),13,0,"03/30/2024, 09:00",Pool A,Final
Colorado Mines,Wisconsin-Milwaukee (B),13,0,"03/30/2024, 10:30",Pool A,Final
Minnesota (B),Northwestern (B),13,3,"03/30/2024, 10:30",Pool A,Final
Colorado Mines,Minnesota (B),11,8,"03/30/2024, 12:00",Pool A,Final
Northwestern (B),Wisconsin-Milwaukee (B),9,3,"03/30/2024, 12:00",Pool A,Final
pool,Pool B
Wisconsin-La Crosse,Iowa State (B),11,4,"03/30/2024, 09:00",Pool B,Final
Colorado (B),Iowa State (B),13,1,"03/30/2024, 10:30",Pool B,Final
Colorado (B),Wisconsin-La Crosse,11,10,"03/30/2024, 12:00",Pool B,Final
pool,Pool C
Grinnell,Iowa (B),13,0,"03/30/2024, 09:00",Pool C,Final
Michigan State,Iowa (B),13,0,"03/30/2024, 10:30",Pool C,Final
Michigan State,Grinnell,11,3,"03/30/2024, 12:00",Pool C,Final
pool,Pool D
St Thomas,Minnesota (C),4,12,"03/30/2024, 09:00",Pool D,Final
Iowa,Minnesota (C),13,3,"03/30/2024, 10:30",Pool D,Final
Iowa,St Thomas,11,4,"03/30/2024, 12:00",Pool D,Final
pool,Pool E
Northern Iowa,Washington University (B),13,2,"03/30/2024, 09:00",Pool E,Final
Davenport,Washington University (B),12,3,"03/30/2024, 10:30",Pool E,Final
Davenport,Northern Iowa,10,9,"03/30/2024, 12:00",Pool E,Final
pool,Pool F
Carthage,Wisconsin-Stevens Point,13,4,"03/30/2024, 09:00",Pool F,Final
Minnesota-Duluth,Wisconsin-Stevens Point,9,3,"03/30/2024, 10:30",Pool F,Final
Minnesota-Duluth,Carthage,8,7,"03/30/2024, 12:00",Pool F,Final
pool,Pool G
Illinois State,Luther,13,7,"03/30/2024, 09:00",Pool G,Final
Southern Illinois-Edwardsville,Luther,13,4,"03/30/2024, 10:30",Pool G,Final
Southern Illinois-Edwardsville,Illinois State,12,5,"03/30/2024, 12:00",Pool G,Final
pool,Pool H
St John's (Minnesota),Eastern Michigan,7,8,"03/30/2024, 09:00",Pool H,Final
Macalester,Eastern Michigan,9,4,"03/30/2024, 10:30",Pool H,Final
Macalester,St John's (Minnesota),13,6,"03/30/2024, 12:00",Pool H,Final
b,r,e,a,k
brackets,Bracket
bracket,Championship Bracket
Colorado Mines,Macalester,0,0,"03/31/2024, 09:00",Quarterfinals,Scheduled
Iowa,Davenport,0,0,"03/31/2024, 09:00",Quarterfinals,Scheduled
Colorado (B),Southern Illinois-Edwardsville,0,0,"03/31/2024, 09:00",Quarterfinals,Scheduled
Michigan State,Minnesota-Duluth,0,0,"03/31/2024, 09:00",Quarterfinals,Scheduled
