2024 USA Ultimate Masters Championships,Grand Masters - Men ,19,7,2024
Aurora,CO,2024-07-19,2024-07-22
https://play.usaultimate.org/events/2024-USA-Ultimate-Masters-Championships/schedule/Men/grand-masters-men/
Rusted Metal,7
teamInfo,,"Portland, Oregon",https://burnsideultimate.com/,https://www.facebook.com/BurnsideUltimate,
00,Bill Freeman
00,Brian Kennett
00,Enrique Benitez
00,Jeremy Forrest
00,Jeremy Christensen
00,Jesse Putnam
00,John King
00,Justin Cole
00,Justin Grishkin
00,Keith Bucher
00,Kellen Russell
00,Marcus Chiodo
00,Markus Brown
00,Matt Melius
00,Matt Ryan
00,Michael Freels
00,Mike Payne
00,Nick Minkler
00,Ryan Wilder
00,Samuel Charles Tsen
00,Seth Merritt
00,Steven Cook
00,Tad Jensen
00,Terry Cussen
00,Vinai Charoenwongsawang
00,Aly Lenon
35,Benjamin Sims
b,r,e,a,k
Bighorn,13
teamInfo,,"Boulder, Colorado",,,https://twitter.com/bighornultimate
0,Charles Stone
02,Michael Keglovits
03,Austin Outhavong
08,Curtis Manning
09,Nathan Dauchy
10,Jeff Gonder
11,Jake Frye
13,Bobby Lee
15,David Alexander
16,Joel Brunger
18,Michael Thompson
20,Christopher Lathinghouse
21,David Kamin
23,Gabe Hamilton
26,Justin Brumbaugh
32,Camden Kittredge
33,Ernest Toney
34,Nick Voakes
42,Adam Verner
47,Robert Borger
64,Patrick Gilman
71,Ian McClellan
74,Stanley Strunk
80,Gerald Chen
81,Steve Limburg
83,Allan Jong
88,Joshua Wadsworth
b,r,e,a,k
Reckon,11
teamInfo,,"Nashville, Tennessee",https://www.twitter.com/ReckonUltimate,,https://www.twitter.com/ReckonUltimate
00,Chaz DeBord
02,David Lavender
03,John Riddle
04,Matthew Echols
06,Christopher Billman
08,William Moore
11,Eric Melancon
12,Don Clark
17,Dustin McKee
19,Joe Cretini
20,Shannon Randol
21,Sean Geran
22,John Markham
24,Chung Lee
25,Larry Brad Smith
28,Jorge Ramirez
31,Charlie Baggett
32,Ryan Belline
35,Christopher Gibbs
43,Anthony Gutierrez
44,Jon Meade
50,Benjamin Nanny
70,Derek Smith
79,Andrew Boyer
88,Cameron Berry
97,Michael Whitton
b,r,e,a,k
s,t,a,g,e,s
pools,Pool Play
pool,Pool A
Surly GM,Endless Sunset,15,11,"07/19/2024, 08:30",Pool A,Final
Rusted Metal,Gravemaker,15,9,"07/19/2024, 08:30",Pool A,Final
Surly GM,Gravemaker,15,5,"07/19/2024, 10:45",Pool A,Final
Rusted Metal,Endless Sunset,15,11,"07/19/2024, 10:45",Pool A,Final
Surly GM,Rusted Metal,14,15,"07/19/2024, 13:00",Pool A,Final
Endless Sunset,Gravemaker,15,9,"07/19/2024, 13:00",Pool A,Final
pool,Pool B
Johnny Walker,Black Cans,14,12,"07/19/2024, 08:30",Pool B,Final
Junkyard,Peralta,13,11,"07/19/2024, 08:30",Pool B,Final
Johnny Walker,Peralta,15,7,"07/19/2024, 10:45",Pool B,Final
Junkyard,Black Cans,10,11,"07/19/2024, 10:45",Pool B,Final
Johnny Walker,Junkyard,15,10,"07/19/2024, 13:00",Pool B,Final
Black Cans,Peralta,14,7,"07/19/2024, 13:00",Pool B,Final
pool,Pool C
Kalakala,Scor'n,15,4,"07/19/2024, 08:30",Pool C,Final
Eldors,Gravymaker,15,8,"07/19/2024, 08:30",Pool C,Final
Kalakala,Gravymaker,15,14,"07/19/2024, 10:45",Pool C,Final
Eldors,Scor'n,15,6,"07/19/2024, 10:45",Pool C,Final
Kalakala,Eldors,12,7,"07/19/2024, 13:00",Pool C,Final
Scor'n,Gravymaker,15,6,"07/19/2024, 13:00",Pool C,Final
pool,Pool D
Shadows,Reckon,15,4,"07/19/2024, 08:30",Pool D,Final
Burnside 40 A,Bighorn,15,4,"07/19/2024, 08:30",Pool D,Final
Shadows,Bighorn,15,5,"07/19/2024, 10:45",Pool D,Final
Burnside 40 A,Reckon,15,5,"07/19/2024, 10:45",Pool D,Final
Shadows,Burnside 40 A,14,9,"07/19/2024, 13:00",Pool D,Final
Reckon,Bighorn,5,15,"07/19/2024, 13:00",Pool D,Final
b,r,e,a,k
brackets,Championship
bracket,1st Place
Rusted Metal,Shadows,5,6,"07/20/2024, 13:00",Semifinals,Scheduled
Kalakala,Johnny Walker,5,8,"07/20/2024, 13:00",Semifinals,Scheduled
Rusted Metal,Black Cans,15,12,"07/20/2024, 08:30",Quarterfinals,Final
Eldors,Shadows,14,15,"07/20/2024, 08:30",Quarterfinals,Final
Kalakala,Burnside 40 A,15,10,"07/20/2024, 08:30",Quarterfinals,Final
