Easterns Qualifier,College - Men ,22,2,2014
https://play.usaultimate.org/events/Easterns-Qualifier/schedule/Men/CollegeMen/
North Carolina-Wilmington,1
00,MARSHALL PIERCE
00,Ryan Reynolds
00,James Grant
00,Hunter Taylor
00,Jules Clayton
00,HARRISON FINK
00,Mike Vignali
00,MATTHEW ARACE
00,Peter Vaccacio
08,Daniel Bowman
b,r,e,a,k
Williams,4
01,Conor Dowling
02,Douglas Wassarman
03,MATT ROCK
05,Victor Luo
06,Hartley Greenwald
08,JOSH NIMER
09,Llewellyn Smith
10,JACOB BLAU
11,THOMAS ENGLEBY
13,AMIR HAY
14,Brian Cintron
15,Willem Humes
17,Samuel Austin
19,DAVID KRUGER
21,Harrison Gatlin
25,Emmett Blau
31,Matthew Jang
42,Matt Radford
54,Chris Stefanik
72,Matthew Goss
91,DANIEL LEVINE
99,JOHN RUSSELL
b,r,e,a,k
Ohio,5
1,Lloyd Furuta
2,Anthony Buran
3,ANDREW CRIBBET
4,Daniel Lloyd
5,Nathan Moncrieff
6,Cameron Haldin
9,CONNOR HUNT
10,KYLE HONE
11,KELLEY MCANDREWS
12,Daret Spradley
15,Logan Kruger
17,Conner Parthemore
19,NOAH TONDARI
20,CHRISTOPHER PAGE
21,Connor Haley
23,CAMERON HEIGHTLAND
30,Brian Boehmke
33,Matthew Olson
41,Cody Petitt
42,P. Mike Rattanasengchanh
44,Luke Eastman
47,Karlis Walsh
55,ALEXANDER DOKSA
81,RYAN COBB
99,Andrew Grogan
b,r,e,a,k
Delaware,12
01,Charles McCutcheon
02,JOSEPH CARVER
05,Michael Smith
08,Charles Weinberg
09,Robert Kalish
10,SVEN JOHNSON
11,Eric Nardelli
13,Greg Mohler
15,Daniel Smith
21,RICHARD LIPARI
22,Colton Lubaszka
23,DANNY KATZ
26,Mark Frasco
30,Brian McAloon
40,SAM RUDOW
42,THOMAS  MATHIESON
66,Stephen Cockerill
77,Andrew Schwartz
91,BRIAN GRAHAM
b,r,e,a,k
Northeastern,13
02,David McDevitt
03,Brian Wyer
04,ROBERT AYERS
06,Jonathan Aldieri
07,SAMUEL THERRIEN
08,ALEX CHAO
09,JESSE HARRIS
11,Samuel Letcher
12,YEEHIN LI
13,SEAN FARRELL
17,Ben Goossen
20,Jonah Kurman-Faber
21,MATTHEW GROTE
22,NICK MARINI
23,Walker Mayerchak
24,John Capreol
27,DYLAN LEWIS
32,Matthew Schwartz
33,Tristan You
39,Benjamin Meltzer
40,Liam Henry
44,ROBERT BASSO
46,Ruozhou Ye
47,Kevin Chen
64,Dillon Roberts
b,r,e,a,k
s,t,a,g,e,s
pools,Pool Play
pool,Pool A
North Carolina-Wilmington,Pennsylvania,15,10,"02/22/2014, 05:00",Pool A
Washington University,Auburn,15,14,"02/22/2014, 05:00",Pool A
North Carolina-Wilmington,Auburn,15,8,"02/22/2014, 07:00",Pool A
Washington University,Connecticut,12,14,"02/22/2014, 07:00",Pool A
Pennsylvania,William & Mary,11,15,"02/22/2014, 07:00",Pool A
North Carolina-Wilmington,Connecticut,15,14,"02/22/2014, 09:00",Pool A
Washington University,William & Mary,15,11,"02/22/2014, 09:00",Pool A
Auburn,Pennsylvania,7,13,"02/22/2014, 09:00",Pool A
Connecticut,Pennsylvania,15,12,"02/22/2014, 11:00",Pool A
Auburn,William & Mary,15,11,"02/22/2014, 11:00",Pool A
North Carolina-Wilmington,Washington University,15,7,"02/22/2014, 13:00",Pool A
Connecticut,William & Mary,15,8,"02/22/2014, 17:00",Pool A
North Carolina-Wilmington,William & Mary,15,11,"02/23/2014, 05:00",Pool A
Washington University,Pennsylvania,15,11,"02/23/2014, 05:00",Pool A
