Garden State IV,College - Men ,29,3,2014
Mercer,NJ,2014-03-29,2014-03-30
https://play.usaultimate.org/events/Garden-State-IV/schedule/Men/CollegeMen/
St Joseph's,17
Villanova (B),Rowan (B),0,0,"03/29/2014, 15:40",Pool I,Cancelled
pool,Pool J
Penn State (B),Messiah (B),13,3,"03/29/2014, 10:00",Pool J,Final
SUNY-Buffalo (B),Lehigh (B),4,13,"03/29/2014, 10:00",Pool J,Final
Penn State (B),Amherst (B),13,4,"03/29/2014, 11:40",Pool J,Final
Lehigh (B),Messiah (B),13,3,"03/29/2014, 11:40",Pool J,Final
SUNY-Buffalo (B),Messiah (B),11,3,"03/29/2014, 13:20",Pool J,Final
Amherst (B),Lehigh (B),2,10,"03/29/2014, 13:20",Pool J,Final
Penn State (B),Lehigh (B),5,13,"03/29/2014, 14:15",Pool J,Final
SUNY-Buffalo (B),Amherst (B),11,8,"03/29/2014, 14:15",Pool J,Final
Penn State (B),SUNY-Buffalo (B),0,0,"03/29/2014, 16:40",Pool J,Cancelled
Amherst (B),Messiah (B),0,0,"03/29/2014, 16:40",Pool J,Cancelled
pool,Pool G
SUNY-Fredonia,Liberty,F,W,"03/29/2014, 10:00",Pool G,Final
SUNY-Cortland,Franklin & Marshall,12,10,"03/29/2014, 10:00",Pool G,Final
SUNY-Fredonia,SUNY-Cortland,F,W,"03/29/2014, 11:25",Pool G,Final
Lehigh,Franklin & Marshall,11,4,"03/29/2014, 11:25",Pool G,Final
Franklin & Marshall,Liberty,5,9,"03/29/2014, 12:50",Pool G,Final
Lehigh,SUNY-Cortland,9,3,"03/29/2014, 12:50",Pool G,Final
SUNY-Fredonia,Franklin & Marshall,F,W,"03/29/2014, 14:15",Pool G,Final
Lehigh,Liberty,10,5,"03/29/2014, 14:15",Pool G,Final
SUNY-Fredonia,Lehigh,F,W,"03/29/2014, 15:40",Pool G,Final
SUNY-Cortland,Liberty,6,10,"03/29/2014, 15:40",Pool G,Final
pool,Pool H
James Madison,Goucher,W,F,"03/29/2014, 10:00",Pool H,Final
Navy,Syracuse,4,9,"03/29/2014, 10:00",Pool H,Final
James Madison,Navy,13,5,"03/29/2014, 11:25",Pool H,Final
Vermont,Syracuse,13,10,"03/29/2014, 11:25",Pool H,Final
Syracuse,Goucher,W,F,"03/29/2014, 12:50",Pool H,Final
Vermont,Navy,13,7,"03/29/2014, 12:50",Pool H,Final
James Madison,Syracuse,13,3,"03/29/2014, 14:15",Pool H,Final
Vermont,Goucher,W,F,"03/29/2014, 14:15",Pool H,Final
James Madison,Vermont,4,8,"03/29/2014, 15:40",Pool H,Final
Navy,Goucher,W,F,"03/29/2014, 15:40",Pool H,Final
b,r,e,a,k
clusters,Crossovers
cluster,Extras
NYU,SUNY-Brockport,13,10,"03/30/2014, 12:20",,Final
Liberty,James Madison,9,8,"03/30/2014, 14:00",,Final
Messiah,Dickinson,13,5,"03/30/2014, 14:00",,Final
Syracuse,SUNY-Cortland,13,7,"03/30/2014, 15:40",,Final
b,r,e,a,k
