Southerns,College - Men ,21,3,2014
Statesboro,GA,2014-03-21,2014-03-23
https://play.usaultimate.org/events/Southerns/schedule/Men/CollegeMen/
LSU,1
MIT,Valdosta State,15,11,"03/23/2014, 08:00",17th Prequarters,Final
Florida State (B),Charleston,8,15,"03/23/2014, 08:00",17th Prequarters,Final
Towson,TEAM_NAME_NOT_FOUND,1,0,"03/23/2014, 08:00",17th Prequarters,Final
Georgia Gwinnett,Georgia (B),9,15,"03/23/2014, 08:00",17th Prequarters,Final
Princeton,MIT,0,1,"03/23/2014, 09:50",17th Quarters,Final
Miami,Charleston,12,8,"03/23/2014, 09:50",17th Quarters,Final
Georgia Southern,Towson,11,12,"03/23/2014, 09:50",17th Quarters,Final
South Carolina,Georgia (B),15,8,"03/23/2014, 09:50",17th Quarters,Final
MIT,Miami,14,10,"03/23/2014, 11:40",17th Semis,Final
Towson,South Carolina,0,1,"03/23/2014, 11:40",17th Semis,Final
MIT,South Carolina,0,0,"03/23/2014, 13:30",17th Finals,Scheduled
b,r,e,a,k
brackets,29-37 Bracket
bracket,29th Place
Luther (B),Princeton (B),15,7,"03/23/2014, 09:50",29th Quarter,Final
South Florida (B),St Olaf (B),15,6,"03/23/2014, 09:50",29th Quarter,Final
Armstrong Atlantic,Southern Polytech State,12,5,"03/23/2014, 09:50",29th Quarter,Final
Young Harris,Chicago (B),15,7,"03/23/2014, 09:50",29th Quarter,Final
Luther (B),South Florida (B),15,5,"03/23/2014, 13:30",29th Semi,Final
Armstrong Atlantic,Young Harris,15,5,"03/23/2014, 13:30",29th Semi,Final
Luther (B),Armstrong Atlantic,14,12,"03/23/2014, 15:20",29th Final,Final
bracket,31st Place
South Florida (B),Young Harris,11,10,"03/23/2014, 15:20",31st Final,Final
bracket,33rd Place
Princeton (B),St Olaf (B),7,12,"03/23/2014, 13:30",33rd Semi,Final
Southern Polytech State,Chicago (B),11,3,"03/23/2014, 13:30",33rd Semi,Final
St Olaf (B),Southern Polytech State,0,0,"03/23/2014, 15:20",33rd Final,Scheduled
bracket,35th Place
Princeton (B),Chicago (B),11,5,"03/23/2014, 15:20",35th Final,Final
b,r,e,a,k
