Midwest Throwdown 2020,College - Women ,7,3,2020
Columbia,MO,2020-03-07,2020-03-08
https://play.usaultimate.org/events/Midwest-Throwdown-2020/schedule/Women/CollegeWomen/
Northwestern,1
Luther,Kansas State,8,4,"03/08/2020, 11:30",Consolation Bracket Round 1 Defeat,Final
Drake University,Nebraska,7,8,"03/08/2020, 11:30",Consolation Bracket Round 1 Defeat,Final
bracket,27th Place
Wisconsin-Oshkosh,Nebraska,1,0,"03/08/2020, 14:30",27th Place,Final
bracket,29th Place
Wisconsin,Drake University,7,1,"03/08/2020, 14:30",29th Place,Final
Wisconsin,Northwestern (B),8,1,"03/08/2020, 13:00",Pre 29th Place,Final
Kansas State,Drake University,7,8,"03/08/2020, 13:00",Pre 29th Place,Final
bracket,31st Place
Northwestern (B),Kansas State,0,0,"03/08/2020, 14:30",31st Place,Cancelled
b,r,e,a,k
