Lehigh Valley Invite,Club - Mixed ,2,8,2025
Allentown,PA,2025-08-02,2025-08-03
https://play.usaultimate.org/events/Lehigh-Valley-Invite/schedule/Mixed/Club-Mixed
UNION,1
24,Soren Shapiro
26,Sara Allen
30,Leonid Zubarev
42,Jack Wilson
43,Dan McManus
47,Bryan Frumkin
48,Justin Tsang
98,Grainne Casey
99,Ashley Wong
b,r,e,a,k
Brooklyn Hive,18
teamInfo,,"New York, New York",https://www.instagram.com/brooklyn_hive_ultimate/,,
0,Andy Shi
0,Callie Zane
0,Candela de Amorrortu
0,Carter Hartmann
0,Christian Duffoo
0,Iris Malfetano
0,Jeremy Doll
0,Jessica Sacks
0,Jimmy Chen
0,Laura Kidder
0,Marguerite Maloney
0,Maria Duke
0,Morgann Thain
0,Reed Jordan
0,Sara Kalet-Schwartz
0,Sonia Bloom
0,Ben Pakter
0,Billie Feigin
3,Brooke Meinhart
3,Anna-Maria Chedia
6,Alex Schlegel
10,Jonathan Lao
11,Harrison Kaish
15,Hakeem Adeyemi
19,Hallie Schaeffer
77,Alexander Drogin
b,r,e,a,k
JAWN,22
teamInfo,,"Philadelphia, Pennsylvania",,,
0,Abigail Sullivan
0,Alyssa Colella
0,Andrew Barczak
0,Ava Paulson
0,Benjamin Cozzolino
0,Ellis Measley
0,Jinuk Han
0,John Currie
0,Kelly Meinert
0,Miguel Romero-Stevenson
0,Sabra Ellison
0,Samantha Thomas
0,Sandeep Dilip
0,Zack Eskin
6,Kye Haniph
7,Angelina Ngo
8,Evan Kashan
8,Melissa Wolfgang
10,Linda Liu
13,Jeremy Eland
18,Adam Novak
25,Edward Brakoniecki
26,Maria Buxton
27,Tolu Olubajo
45,Shamar Phifer
96,Jacob Prunes
b,r,e,a,k
Buffalo Brain Freeze,19
teamInfo,,"Buffalo, New York",,,https://twitter.com/BuffBrainFreeze?s=09
0,Isaiah Welch
0,James Erb
0,Jessica Losel
0,Jessie Chiello
0,Krista Schmidt
0,Laura Holt
0,Luke Weber
0,Daniel Galvin
0,Emilee Nelson
0,Greg Burganowski
0,Hannah Rapp
0,Molly Sheehan
0,Neil Lin
0,Paul Sperr
