Midwest Throwdown 2025,College - Men ,1,3,2025
"Warrenton, Wentzville, Saint Louis",MO,2025-03-01,2025-03-02
https://play.usaultimate.org/events/Midwest-Throwdown-2025/schedule/Men/CollegeMen/
St Olaf,1
Iowa State,St John's (Minnesota),13,10,"03/02/2025, 09:30",Prequarterfinals,Final
Missouri,Illinois (B),13,1,"03/02/2025, 09:30",Prequarterfinals,Final
Wisconsin-Eau Claire,Wisconsin-La Crosse,6,13,"03/02/2025, 09:30",Prequarterfinals,Final
Southern Illinois-Edwardsville,DePaul,0,0,"03/02/2025, 09:30",Prequarterfinals,Scheduled
Macalester,Wisconsin (B),13,5,"03/02/2025, 09:30",Prequarterfinals,Final
bracket,3rd Place
bracket,5th Place
bracket,7th Place
bracket,Consolation
Washington University (B),Minnesota (B),0,0,"03/02/2025, 11:00",Consolation Quarters,Scheduled
Illinois State,St John's (Minnesota),0,0,"03/02/2025, 11:00",Consolation Quarters,Scheduled
Illinois (B),Wisconsin-Eau Claire,0,0,"03/02/2025, 11:00",Consolation Quarters,Scheduled
bracket,11th Place
bracket,13th Place
bracket,15th Place
b,r,e,a,k
pools,Consolation Round Robin
pool,Pool F
Carleton College (C),Wisconsin-Eau Claire (B),11,4,"03/02/2025, 08:00",Pool F,Final
Purdue (B),Knox,13,2,"03/02/2025, 08:00",Pool F,Final
Carleton College (C),Knox,0,0,"03/02/2025, 09:30",Pool F,Scheduled
Purdue (B),Wisconsin-Eau Claire (B),10,3,"03/02/2025, 09:30",Pool F,Final
Carleton College (C),Purdue (B),0,0,"03/02/2025, 15:30",Pool F,Scheduled
Wisconsin-Eau Claire (B),Knox,0,0,"03/02/2025, 15:30",Pool F,Scheduled
b,r,e,a,k
