Revolution 2019,Club - Mixed ,20,7,2019
San Francisco,CA,2019-07-20,2019-07-21
https://play.usaultimate.org/events/Revolution-2019/schedule/Mixed/Club-Mixed
Classy,1
Lotus,California Burrito,13,4,"07/21/2019, 10:00",Round Name,Final
Pivot,Absolute Zero,12,6,"07/21/2019, 10:00",Round Name,Final
bracket,Championship Bracket 3rd Place Game
Firefly,Lotus,6,15,"07/21/2019, 13:30",Championship Bracket 3rd Place Game,Final
b,r,e,a,k
brackets,Championship 5th Place Bracket 
bracket,Championship 5th Place Bracket 
American Barbecue,Absolute Zero,10,9,"07/21/2019, 13:30",Championship 5th Place Bracket ,Final
American Barbecue,Donuts,10,7,"07/21/2019, 11:45",Round Name,Final
Absolute Zero,California Burrito,13,9,"07/21/2019, 11:45",Round Name,Final
bracket,Championship Bracket 7th Place Game
Donuts,California Burrito,12,7,"07/21/2019, 13:30",Championship Bracket 7th Place Game,Final
b,r,e,a,k
brackets,Middle Bracket 
bracket,Middle Bracket 
Argo,Alchemy,7,12,"07/21/2019, 13:30",Middle Bracket ,Final
Argo,Family Style,11,10,"07/21/2019, 11:45",Round Name,Final
Robot,Alchemy,6,11,"07/21/2019, 11:45",Round Name,Final
Argo,Long Beach Legacy,15,7,"07/21/2019, 10:00",Round Name,Final
Family Style,Bulleit Train,9,8,"07/21/2019, 10:00",Round Name,Final
Robot,Superstition,13,8,"07/21/2019, 10:00",Round Name,Final
Alchemy,Sweet Action,12,8,"07/21/2019, 10:00",Round Name,Final
bracket,Middle Bracket 3rd Place Game
Family Style,Robot,7,11,"07/21/2019, 13:30",Middle Bracket 3rd Place Game,Final
b,r,e,a,k
brackets,Middle 5th Place Bracket 
bracket,Middle 5th Place Bracket 
Long Beach Legacy,Superstition,9,11,"07/21/2019, 13:30",Middle 5th Place Bracket ,Final
Long Beach Legacy,Bulleit Train,10,9,"07/21/2019, 11:45",Round Name,Final
Sweet Action,Superstition,10,13,"07/21/2019, 11:45",Round Name,Final
bracket,Middle Bracket 7th Place Game
Bulleit Train,Sweet Action,11,7,"07/21/2019, 13:30",Middle Bracket 7th Place Game,Final
b,r,e,a,k
brackets,Consolation Bracket 
bracket,Consolation Bracket 
Party Cats,Spoiler Alert,7,9,"07/21/2019, 13:30",Consolation Bracket ,Final
Party Cats,Feral Cows,9,8,"07/21/2019, 11:45",Round Name,Final
Spoiler Alert,DR,11,5,"07/21/2019, 11:45",Round Name,Final
VU,Party Cats,5,11,"07/21/2019, 10:00",Round Name,Final
Megalodon,Feral Cows,7,12,"07/21/2019, 10:00",Round Name,Final
Spoiler Alert,Birds of Paradise,12,9,"07/21/2019, 10:00",Round Name,Final
DR,Happy Cows,13,7,"07/21/2019, 10:00",Round Name,Final
bracket,Consolation Bracket 3rd Place Game
DR,Feral Cows,8,5,"07/21/2019, 13:30",Consolation Bracket 3rd Place Game,Final
b,r,e,a,k
brackets,Consolation 5th Place Bracket 
bracket,Consolation 5th Place Bracket 
VU,Birds of Paradise,13,8,"07/21/2019, 13:30",Consolation 5th Place Bracket ,Final
VU,Megalodon,13,6,"07/21/2019, 11:45",Round Name,Final
Birds of Paradise,Happy Cows,10,7,"07/21/2019, 11:45",Round Name,Final
bracket,Consolation Bracket 7th Place Game
Megalodon,Happy Cows,11,6,"07/21/2019, 13:30",Consolation Bracket 7th Place Game,Final
b,r,e,a,k
