USA Ultimate National Championships,Club - Mixed ,24,10,2019
San Diego,CA,2019-10-24,2019-10-27
https://play.usaultimate.org/events/USA-Ultimate-National-Championships-2019/schedule/Mixed/Club-Mixed
BFG,8
Slow White,Superlame,11,13,"10/24/2019, 09:00",Pool D,Final
Wild Card,Superlame,11,12,"10/24/2019, 11:15",Pool D,Final
Slow White,shame.,8,15,"10/24/2019, 11:15",Pool D,Final
Wild Card,Slow White,11,15,"10/24/2019, 15:45",Pool D,Final
shame.,Superlame,14,12,"10/24/2019, 15:45",Pool D,Final
b,r,e,a,k
brackets,Championship Bracket
bracket,1st Place Bracket
AMP,Mischief,15,9,"10/27/2019, 15:00",Finals,Final
AMP,shame.,15,14,"10/26/2019, 14:30",Semifinals,Final
Mischief,Drag'n Thrust,15,10,"10/26/2019, 10:00",Semifinals,Final
BFG,AMP,12,13,"10/25/2019, 11:45",Quarterfinals,Final
Snake Country,shame.,8,15,"10/25/2019, 11:45",Quarterfinals,Final
Mischief,Columbus Cocktails,15,8,"10/25/2019, 14:00",Quarterfinals,Final
Drag'n Thrust,Seattle Mixtape,15,12,"10/25/2019, 14:00",Quarterfinals,Final
Space Heater,AMP,12,15,"10/25/2019, 09:00",Pre-Quarterfinals,Final
Polar Bears,Snake Country,12,14,"10/25/2019, 09:00",Pre-Quarterfinals,Final
Superlame,Columbus Cocktails,13,15,"10/25/2019, 09:00",Pre-Quarterfinals,Final
Slow White,Drag'n Thrust,13,14,"10/25/2019, 09:00",Pre-Quarterfinals,Final
b,r,e,a,k
brackets,Consolation Brackets (2020 Pro Flight)
bracket,5th Place Bracket
Seattle Mixtape,BFG,12,14,"10/26/2019, 09:00",5th Place Finals,Final
Seattle Mixtape,Columbus Cocktails,15,11,"10/25/2019, 16:15",5th Place Semifinals,Final
Snake Country,BFG,11,14,"10/25/2019, 16:15",5th Place Semifinals,Final
bracket,7th Place Bracket - Pro Flight Play-In (A)
Columbus Cocktails,Superlame,12,15,"10/26/2019, 09:00",Pro-Flight Play-In / 7th Place (tie),Final
MOONDOG,Superlame,14,15,"10/25/2019, 16:15",9th Place Semifinals,Final
Slow White,MOONDOG,12,13,"10/25/2019, 11:45",9th Place Quarterfinals,Final
Wild Card,Superlame,11,14,"10/25/2019, 11:45",9th Place Quarterfinals,Final
bracket,7th Place Bracket - Pro Flight Play-In (B)
Public Enemy,Snake Country,13,11,"10/26/2019, 09:00",Pro Flight Play-In / 7th Place (tie),Final
Polar Bears,Public Enemy,8,15,"10/25/2019, 16:15",9th Place Semifinals,Final
Polar Bears,Toro,13,9,"10/25/2019, 11:45",9th Place Quarterfinals,Final
Public Enemy,Space Heater,14,13,"10/25/2019, 11:45",9th Place Quarterfinals,Final
b,r,e,a,k
brackets,Consolation Brackets (2020 Elite Flight)
bracket,11th Place Bracket
MOONDOG,Polar Bears,13,14,"10/26/2019, 09:00",11th Place,Final
bracket,13th Place Bracket
Wild Card,Space Heater,15,9,"10/26/2019, 09:00",13th Place Finals,Final
Slow White,Wild Card,10,13,"10/25/2019, 14:00",13th Place Semifinals,Final
Toro,Space Heater,11,12,"10/25/2019, 14:00",13th Place Semifinals,Final
bracket,15th Place Bracket
Slow White,Toro,13,15,"10/26/2019, 09:00",15th Place,Final
b,r,e,a,k
clusters,Crossover Round (4 Seeds from Pool Play)
cluster,Crossover Round (4 Seeds from Pool Play)
Wild Card,MOONDOG,15,11,"10/25/2019, 09:00",,Final
Toro,Public Enemy,15,3,"10/25/2019, 09:00",,Final
b,r,e,a,k
