Cooler Classic 31,Club - Men ,17,8,2019
https://play.usaultimate.org/events/Cooler-Classic-31/schedule/Men/Club-Men/
Swans,4
MKE,Haymaker,9,7,"08/18/2019, 08:30",1st Quarters
DeMo,HouSE,11,13,"08/17/2019, 16:00",1st Pre-Q
Scythe,Satellite,13,8,"08/17/2019, 16:00",1st Pre-Q
THE BODY,Imperial,6,13,"08/17/2019, 16:00",1st Pre-Q
MKE,Timber,13,6,"08/17/2019, 16:00",1st Pre-Q
bracket,Gold 3rd
Mad Men,Cryptic,7,9,"08/18/2019, 12:30",3rd
bracket,Gold 5th
Scythe,Haymaker,9,8,"08/18/2019, 12:30",5th
HouSE,Scythe,7,9,"08/18/2019, 10:30",5th Semis
Imperial,Haymaker,8,9,"08/18/2019, 10:30",5th Semis
bracket,Gold 7th
HouSE,Imperial,6,9,"08/18/2019, 12:30",7th
b,r,e,a,k
brackets,Silver Bracket
bracket,Silver 1st
Satellite,Black Market II,6,5,"08/18/2019, 14:30",9th
Satellite,DeMo,8,7,"08/18/2019, 12:30",9th Semis
THE BODY,Black Market II,6,7,"08/18/2019, 12:30",9th Semis
Satellite,CaSTLe,9,8,"08/18/2019, 10:30",9th Quarters
DeMo,Kansas City Smokestack,10,9,"08/18/2019, 10:30",9th Quarters
THE BODY,Red Bat,11,8,"08/18/2019, 10:30",9th Quarters
Timber,Black Market II,4,11,"08/18/2019, 10:30",9th Quarters
CaSTLe,Milwaukee Revival,11,5,"08/18/2019, 08:30",9th Pre-Q
Chimney,Red Bat,8,9,"08/18/2019, 08:30",9th Pre-Q
bracket,Silver 3rd
DeMo,THE BODY,9,7,"08/18/2019, 14:30",11th
bracket,Silver T-5th
Timber,Red Bat,11,5,"08/18/2019, 14:30",T-13th
Timber,Milwaukee Revival,9,4,"08/18/2019, 12:30",T-13 Semis (A)
bracket,Silver T-5th
Kansas City Smokestack,CaSTLe,3,10,"08/18/2019, 14:30",T-13th
Kansas City Smokestack,Chimney,7,4,"08/18/2019, 12:30",T-13 Semis (B)
bracket,Silver T-9th
Milwaukee Revival,Chimney,11,7,"08/18/2019, 14:30",17th
b,r,e,a,k
