Boston Invite 2026,Club - Mixed ,11,7,2026
Devens,MA,2026-07-11,2026-07-12
https://play.usaultimate.org/events/Boston-Invite-2026/schedule/Mixed/Club-Mixed
Grand Army,1
League of Shadows,Heat Wave,7,13,"07/11/2026, 12:20",Pool H,Final
Garbage Plates,Obscure,12,13,"07/11/2026, 12:20",Pool H,Final
Big Rig,League of Shadows,13,7,"07/11/2026, 14:00",Pool H,Final
Garbage Plates,Heat Wave,12,11,"07/11/2026, 14:00",Pool H,Final
Big Rig,Garbage Plates,13,9,"07/11/2026, 15:40",Pool H,Final
Obscure,Heat Wave,13,9,"07/11/2026, 15:40",Pool H,Final
pool,Pool I
Townies,Domino Effect,13,7,"07/11/2026, 09:00",Pool I,Final
PS,Young and the Restless,13,6,"07/11/2026, 09:00",Pool I,Final
Townies,PS,13,5,"07/11/2026, 10:40",Pool I,Final
Zero Strategy,Young and the Restless,13,3,"07/11/2026, 10:40",Pool I,Final
Young and the Restless,Domino Effect,13,6,"07/11/2026, 12:20",Pool I,Final
Zero Strategy,PS,13,5,"07/11/2026, 12:20",Pool I,Final
Townies,Young and the Restless,13,3,"07/11/2026, 14:00",Pool I,Final
Zero Strategy,Domino Effect,13,4,"07/11/2026, 14:00",Pool I,Final
Townies,Zero Strategy,10,13,"07/11/2026, 15:40",Pool I,Final
PS,Domino Effect,13,3,"07/11/2026, 15:40",Pool I,Final
b,r,e,a,k
brackets,9th place bracket
bracket,9th place bracket
Quahogs,Garbage Plates,13,12,"07/12/2026, 15:00",9th place bracket,Final
Quahogs,Heat Wave,15,10,"07/12/2026, 13:00",Semis,Final
Garbage Plates,Lampshade,15,9,"07/12/2026, 13:00",Semis,Final
Funk,Quahogs,8,11,"07/12/2026, 09:00",Quarters,Final
Heat Wave,PS,12,7,"07/12/2026, 09:00",Quarters,Final
Garbage Plates,Young and the Restless,15,7,"07/12/2026, 09:00",Quarters,Final
T Party,Lampshade,8,15,"07/12/2026, 09:00",Quarters,Final
bracket,11th Place
Heat Wave,Lampshade,10,9,"07/12/2026, 15:00",11th Place,Final
bracket,13th Place
