2026 Select Flight Invite East,Club - Women ,25,7,2026
Sylvania,OH,2026-07-25,2026-07-26
http://play.usaultimate.org/events/2026-Select-Flight-Invite-East/schedule/Women/Club-Women/
6ixers,1
7,Jenna Gall
8,Emma Rundio
8,Hannah Chang
10,Isla Cusick
13,Sterling Morrone
13,Marissa Aldieri
24,Faith Summers
27,Taylor Simpson
b,r,e,a,k
Stellar,14
teamInfo,,"St. Louis, Missouri",,https://www.facebook.com/stellarultimate,https://twitter.com/StellarUltimate
0,Allison Faerber
0,Cassia Williams-Rogers
0,Anna Cochran
0,Janie Dubberke
0,Jiwei Wu
0,Mary Otten
0,Julia Chapman
0,Ivanka Huynh
0,Erin Pollack
0,Rachel Byerly
0,Mary Orlando
0,Nina Laser
0,Talia Horn
0,Elise Gadson
1,Anat Gross
10,Ella Yang
13,Zirui Zhou
26,Jennifer May
29,Lucy Wei
b,r,e,a,k
Siege,9
teamInfo,,"Boston, Massachusetts",https://siegeultimate.com/,https://www.facebook.com/BostonSiege,https://twitter.com/siegeultimate
0,Alice Chirn
0,Bryce  Zwickel
0,Duschia Bodet
0,Isabel Peress
0,Kirsten Mauer
0,Morgan Banta-Ryan
0,Xiulie  Perry
0,Sunday Labrucherie
3,Samantha Paulsen
3,Analise Castillo
6,Elizabeth Menard
7,Grace Schifilliti
9,Lisa Liu
10,Kayla Harrison
13,Clara Walsh
14,Taylor Kenneth
24,Eleni Kauffman
27,Jess Montgomery
27,Naomi Campbell
33,Sonja Lee
39,Naomi Miller
44,Lauren Bevilacqua
54,Alex Hecht
81,Carly Cameron
99,Lucy Perkins
b,r,e,a,k
Lake Erie Walleye,19
teamInfo,,"Cleveland, Ohio",https://sites.google.com/view/clewclubultimate/home,,https://twitter.com/CleWalleyesUlt
0,Alice Dawson-Hollow
0,Andreea Merzianu
0,Bethany Ballard
0,Emily Cichocki
0,Enya Luo-Wimmer
0,Elisa Unangst
0,Enya Sterk
0,Meghan Drews
0,Madeline Haughton
0,Sydney Shobel
0,Lauren Himmel
0,Natalie Pillai
5,Erin Heisey
9,Cilla Nee
23,Brianna Blair
23,Sofia Slack
25,Julie Chen
29,Jordan Hudgins
33,Korina Graber
77,Brooke Boge
b,r,e,a,k
Dimes,5
teamInfo,,"Dallas, Texas",,,
coaches,Chris Casey
0,Hani Pajela
02,Elyssa Ducret
03,Charli Armstrong
07,Megan Tormey
09,Meredith McGee
10,Katie Metzler
11,Brianne Welkener
12,Kimmy  Wilson
13,Emma  Erickson
14,Stephanie Hockett
15,Tricia Smit
16,Macy Lang
17,Lauren Anne Nicolas
18,Elizabeth McCullagh
19,Emma Ackels
21,Victoria Walters
23,Elissa Balke
24,Jenna Bigbie
28,Allison Chang
30,Kristina Engelhardt
48,Anna Highsmith
55,Bethani Eberhart
56,Laura Brewer
71,Maricar Lafita Navarro
77,Maria Charlotte Kruger
b,r,e,a,k
Stella,20
teamInfo,,"Ottawa, Ontario CA",http://www.instagram.com/stellaultimate,http://www.facebook.com/stellaultimate,http://www.twitter.com/stellaultimate
coaches,Habib Atallah
01,Lana Ramic
02,Emma Beaulieu
03,Alexandra Wardill
05,Abby Millar
06,Samantha Green
07,Chloe Rosenbloom
08,Katie Sciborski
16,Christina Bortnowschi
17,Claire Renaud
18,Emma Plant
21,Lilianne Shannon
28,Brittney Cooke
29,Hannah Griezic
39,Cassandra Jaffray
50,Sasha Palmert
55,Keira Kennedy
66,Georgia Cameron
77,Kate Clement
b,r,e,a,k
Magma,15
teamInfo,,"Marietta, Georgia",,,
01,Celine Charitat
02,Jennifer Gold
03,Rachel Burzynski
05,Vanessa Bensch
06,Ellie Thomson
07,Katherine Mittleider
09,Alexis Puckett
10,Tristan Thompson
11,Charlene Hawkins
13,Valerie Sandoval
15,Adriana  Oceguera
16,Madeleine Frey
17,Katie Hitt
20,Amanda Manausa
21,Kylie Mink
22,Juliann Pham
24,Shayda  Torab
27,Sarai Colorado-landero
28,Samantha Jones
29,Angelicia Franklin
31,Hailey Gassiot
37,Kallie Monroe
55,Esme Ruengvivatpant
b,r,e,a,k
Zephyr,10
teamInfo,,"Philadelphia , Pennsylvania",https://linktr.ee/The_flock,https://www.facebook.com/profile.php?id=61556710076640,https://twitter.com/ZephyrUlti
0,Ashika Mani
0,Celia Nicholson
0,Izzy Heal
0,Ella Kesler
0,Clara Morton
0,Sophie Kujawski
0,Olivia Fox
4,Meghan Wadlinger
7,Kai Inoki
9,Julia Larson
13,Will Johnson
15,Anya Rainwater
17,Maddy Singer
18,Devin Feigelson
22,Hannah Aaron
23,Sonia Nicholson
25,Jenna Borges
26,Victoria Wischerth
27,Hannah Short
31,Amritha Mallikarjun
31,Caitlin  Gee
37,Violet Abrahamsson
42,Jy Link Francis
47,Anna Bingham
51,Sharon Chen
69,Rachel Rivera
b,r,e,a,k
s,t,a,g,e,s
