2022 U.S. Open Club Championships,Youth Club U-20 - Boys ,6,8,2022
Blaine,MN,2022-08-05,2022-08-08
https://play.usaultimate.org/events/2022-US-Open-Club-Championships/schedule/Boys/youth-club-u-20-boys/
smOAK,12
Red Hots - u20,Texas United,14,15,"08/06/2022, 17:45",Pool F,Final
Philadelphia SEPDA (Boys),Carolina Sky,15,7,"08/06/2022, 17:45",Pool F,Final
pool,Pool G
Charlotte Flight,COSmic U-20 Boys,13,11,"08/06/2022, 10:30",Pool G,Final
Moon Pigs,Metro,15,5,"08/06/2022, 10:30",Pool G,Final
Charlotte Flight,Metro,15,3,"08/06/2022, 15:30",Pool G,Final
Moon Pigs,COSmic U-20 Boys,9,14,"08/06/2022, 15:30",Pool G,Final
Charlotte Flight,Moon Pigs,15,6,"08/06/2022, 17:45",Pool G,Final
COSmic U-20 Boys,Metro,15,3,"08/06/2022, 17:45",Pool G,Final
pool,Pool H
Flying Pig,Birds Of Play,15,4,"08/06/2022, 10:30",Pool H,Final
Villains,Rochester Chill U20B,15,0,"08/06/2022, 10:30",Pool H,Final
Flying Pig,Rochester Chill U20B,15,2,"08/06/2022, 12:45",Pool H,Final
Villains,Birds Of Play,15,6,"08/06/2022, 12:45",Pool H,Final
Flying Pig,Villains,11,13,"08/06/2022, 17:45",Pool H,Final
Birds Of Play,Rochester Chill U20B,15,2,"08/06/2022, 17:45",Pool H,Final
b,r,e,a,k
brackets,Championship Bracket
bracket,Finals
smOAK,Utah Swarm U20 Boys,9,15,"08/08/2022, 14:00",Finals,Final
smOAK,Minnesota Superior U20B,15,9,"08/08/2022, 10:45",Semifinals,Final
BUDA U20B,Utah Swarm U20 Boys,9,15,"08/08/2022, 10:45",Semifinals,Final
ATLiens,smOAK,9,14,"08/07/2022, 15:45",Quarterfinals,Final
Minnesota Superior U20B,Seven Hills U20 Open,12,10,"08/07/2022, 15:45",Quarterfinals,Final
Triforce,BUDA U20B,6,15,"08/07/2022, 15:45",Quarterfinals,Final
