2022 U.S. Open Club Championships,Youth Club U-20 - Mixed ,5,8,2022
Blaine,MN,2022-08-05,2022-08-08
https://play.usaultimate.org/events/2022-US-Open-Club-Championships/schedule/Mixed/youth-club-u-20-mixed/
Pi+,1
29,Benjamin Valliere
31,Jarom  Oyler
32,Derik Knighton
33,Truman Abbott
36,Abbriella Gordon
37,Kylee Cox
42,Zak Diana
47,Kysen Lyons
48,Breesen Hoehne
59,Graeson Kerr
62,Spencer Boyer
b,r,e,a,k
Hypnosis,6
teamInfo,,"West Chicago, Illinois",http://illinoisultimate.org,,
coaches,Emilee LeDonne
01,Henry Zaslow
03,Reagan  Black
05,Phoebe Koehler
05,Quinn Siegel
06,Polly Frazer
07,Ariana Golemis
10,Casey Kelley
11,Archie Beecroft
14,Sean Wagner
15,Lucille Jewell
17,Connor  Sandman
21,Kazuya Rexer
23,Jillian Mannisto
24,Lily LeDonne
27,Brooke Chomko
31,Hederik Kosten
32,Kevin Tiernan
35,Morgan Sweeney
75,Quinn Kahle
99,Andy Schneider
b,r,e,a,k
Albany Anarchy,18
teamInfo,,"Albany, New York",,,
coaches,Garrett Clay
0,Daniel Kwon
02,Iris Sawyer
05,Greta Traynor
07,Seth Daughton
08,Sarah Azrin
10,Caroline Mentes
12,Sasha Driver
15,Devin Hendricks
17,Theodore Howard
18,Jude Bakija
20,Robin Troup
22,Tay Harvey
32,Aliza Cotton
40,Owen Karmel
44,Matthew Collins
69,William Olsen
b,r,e,a,k
Oregon Landslide,5
teamInfo,,"Portland, Oregon",,,
coaches,Jake Johnson
 ,Jackson Riley
 ,Jasper Hitchman
0,Jason Chinitz-Mital
02,Amaya Shean-Jones
03,Ezra Cohen
04,Owen Poissant
05,Charlotte Robison
07,Zoey Hughes
08,Cecilia Bahnson
12,Robert  Brown
13,Julian Kägi
16,Max Fenger
17,Rowan Cahill
18,Bee Marquiss
21,Alder Ame
22,Eliza Kerstetter
23,Addyson Puri
25,Ally Willard
27,Sayric Arias
39,Emmett McNeely
40,Alice Wayte
42,Theo Schaid Hefley
66,Evellyn Lichnov 
81,Matteo Giametta
85,Henry Nieckarz
99,Noah Menachemson
b,r,e,a,k
Dallas Skyline,4
teamInfo,,"Dallas, Texas",,,
coaches,Vivian Scott,Blake Duncan,Katie Metzler
01,Sharan Sethi
02,Myles Armstrong
03,Randall Welkener
04,Rushil Randhar
06,Makaya Simson
07,Vinay Patel
09,Rahi Patel
10,Elizabeth Heare
11,Andrew Hambrick
12,Isaiah Platt
15,Eva Hayes
17,Caroline Mulry
21,Owen Johnson
22,Luke Norby
23,Andrew Sullivan
24,Liam McKay
25,Christine Sullivan
35,Ross Barham
b,r,e,a,k
Rochester Chill U20X,16
teamInfo,,"Rochester, New York",,,
coaches,Hales Pink,Skylar Brunner,Dylan Ryder,Andrew Berger
01,Christopher Kilbridge
03,Sabine Lucas
04,Raina Lockwood
07,Ethan Franz
08,Lilliana Lockwood
11,Jamie Falkovich 
12,Aviv Kane
13,Braemen Twitchell
16,Maura Mulherin
17,Joey Puma
18,Marlena Berger
20,John Vanderwege
21,Mary  MacAdam
22,Stephen Sampson
23,Luka Da Costa
25,William McNamara
26,Devin Gogolski
28,Cory Elder
42,Addisyn Gangai
b,r,e,a,k
Maryland Blackout,17
teamInfo,,"Catonsville, Maryland",,,
coaches,Tim Eubanks,Ian Gill,Cara Murray,Robert Miller
02,Parker Semmont
03,Noah Sheasby
04,Sonya Harding
05,Tai Eubanks
06,Erin Berry
07,Emma Lamousin
08,Andrew Patrone
11,Neer Miller
12,William Lamousin
13,Ryf Eubanks
14,Benjamin Lopez
15,Alexandra Lopez
18,Julianna  Connolly 
19,Jude Pontzer
21,Leo Doyle
23,Alicia Boretti
24,Matthias Kirby
27,Zuzu Shoaff
29,Alexandra Connolly
30,Noah Fotenos
33,Sophia Schatz
71,Samuel Rennich
b,r,e,a,k
NWA White Tails,12
teamInfo,,"Bentonville, Arkansas",https://fda.ultimatecentral.com/youth-ultimate,,
coaches,Heather Ayers,Jody Ayers
00,Jacob Schaefer
02,Oliver  Wise
03,Ryan Fritsche
04,Hadley Ayers
05,Addison Moll
06,Hezakiah Hernandez 
08,Kele Estes-Beard
09,Murray Helzer
10,Palmer Ayers
17,Gabrielle Andregg
21,Kiersten Andregg
22,Evan Yam
25,Allison Yam
49,Isaac Dupras
b,r,e,a,k
s,t,a,g,e,s
pools,Pool Play
pool,Pool A
Pi+,Happy Cows,14,10,"08/06/2022, 12:45",Pool A,Final
Equinox,Kalamazoo United Forte,14,3,"08/06/2022, 12:45",Pool A,Final
Pi+,Kalamazoo United Forte,15,1,"08/06/2022, 15:30",Pool A,Final
Equinox,Happy Cows,7,11,"08/06/2022, 15:30",Pool A,Final
Happy Cows,Kalamazoo United Forte,15,4,"08/07/2022, 13:30",Pool A,Final
Pi+,Equinox,12,9,"08/07/2022, 13:30",Pool A,Final
pool,Pool B
Seven Hills U20 Mixed,Philadelphia Forge (Mixed),15,2,"08/06/2022, 12:45",Pool B,Final
Madison MUFAbots U20X,Virginia Vanguard,11,8,"08/06/2022, 12:45",Pool B,Final
Madison MUFAbots U20X,Philadelphia Forge (Mixed),8,11,"08/06/2022, 15:30",Pool B,Final
Seven Hills U20 Mixed,Virginia Vanguard,15,2,"08/06/2022, 15:30",Pool B,Final
Philadelphia Forge (Mixed),Virginia Vanguard,11,8,"08/07/2022, 13:30",Pool B,Final
Seven Hills U20 Mixed,Madison MUFAbots U20X,14,3,"08/07/2022, 13:30",Pool B,Final
pool,Pool C
Hypnosis,Albany Anarchy,15,4,"08/06/2022, 10:30",Pool C,Final
MN Superior,Swing Vote,14,12,"08/06/2022, 12:45",Pool C,Final
Hypnosis,Utah Swarm U20 Mixed,4,15,"08/06/2022, 12:45",Pool C,Final
MN Superior,Utah Swarm U20 Mixed,11,13,"08/06/2022, 15:30",Pool C,Final
Swing Vote,Albany Anarchy,15,2,"08/06/2022, 15:30",Pool C,Final
MN Superior,Albany Anarchy,15,1,"08/07/2022, 08:30",Pool C,Final
Utah Swarm U20 Mixed,Albany Anarchy,15,0,"08/07/2022, 10:45",Pool C,Final
Hypnosis,Swing Vote,10,12,"08/07/2022, 10:45",Pool C,Final
Swing Vote,Utah Swarm U20 Mixed,12,9,"08/07/2022, 13:30",Pool C,Final
MN Superior,Hypnosis,15,3,"08/07/2022, 13:30",Pool C,Final
pool,Pool D
Oregon Landslide,Maryland Blackout,15,6,"08/06/2022, 10:30",Pool D,Final
Dallas Skyline,NWA White Tails,15,1,"08/06/2022, 12:45",Pool D,Final
Oregon Landslide,Rochester Chill U20X,15,9,"08/06/2022, 12:45",Pool D,Final
Dallas Skyline,Rochester Chill U20X,15,5,"08/06/2022, 15:30",Pool D,Final
NWA White Tails,Maryland Blackout,5,9,"08/06/2022, 15:30",Pool D,Final
Dallas Skyline,Maryland Blackout,15,3,"08/07/2022, 08:30",Pool D,Final
Rochester Chill U20X,Maryland Blackout,15,6,"08/07/2022, 10:45",Pool D,Final
Oregon Landslide,NWA White Tails,15,3,"08/07/2022, 10:45",Pool D,Final
NWA White Tails,Rochester Chill U20X,2,13,"08/07/2022, 13:30",Pool D,Final
Dallas Skyline,Oregon Landslide,11,12,"08/07/2022, 13:30",Pool D,Final
b,r,e,a,k
brackets,Championship Bracket
bracket,Championship
Pi+,Seven Hills U20 Mixed,12,15,"08/08/2022, 14:00",Finals,Final
Pi+,MN Superior,15,10,"08/08/2022, 10:45",Semifinals,Final
Dallas Skyline,Seven Hills U20 Mixed,10,15,"08/08/2022, 10:45",Semifinals,Final
Pi+,Philadelphia Forge (Mixed),12,8,"08/07/2022, 15:45",Quarterfinals,Final
Oregon Landslide,MN Superior,8,15,"08/07/2022, 15:45",Quarterfinals,Final
Swing Vote,Dallas Skyline,7,14,"08/07/2022, 15:45",Quarterfinals,Final
Seven Hills U20 Mixed,Happy Cows,13,5,"08/07/2022, 15:45",Quarterfinals,Final
bracket,Third Place
MN Superior,Dallas Skyline,15,11,"08/08/2022, 13:00",3rd Place,Final
b,r,e,a,k
brackets,Placement Brackets
bracket,Fifth Place Bracket
Oregon Landslide,Happy Cows,10,11,"08/08/2022, 10:45",5th Place,Final
Philadelphia Forge (Mixed),Oregon Landslide,11,12,"08/08/2022, 08:30",5th Semifinals,Final
Swing Vote,Happy Cows,7,11,"08/08/2022, 08:30",5th Semifinals,Final
bracket,Seventh Place
Philadelphia Forge (Mixed),Swing Vote,4,15,"08/08/2022, 10:45",7th Place,Final
bracket,Ninth Place Bracket
Rochester Chill U20X,Utah Swarm U20 Mixed,5,13,"08/08/2022, 10:45",9th Place,Final
Equinox,Rochester Chill U20X,11,12,"08/08/2022, 08:30",9th Semifinals,Final
Utah Swarm U20 Mixed,Madison MUFAbots U20X,14,9,"08/08/2022, 08:30",9th Semifinals,Final
Equinox,Virginia Vanguard,10,8,"08/07/2022, 15:45",9th Quarterfinals,Final
Rochester Chill U20X,Hypnosis,15,9,"08/07/2022, 15:45",9th Quarterfinals,Final
Utah Swarm U20 Mixed,Maryland Blackout,15,5,"08/07/2022, 15:45",9th Quarterfinals,Final
Madison MUFAbots U20X,Kalamazoo United Forte,12,7,"08/07/2022, 15:45",9th Quarterfinals,Final
bracket,Eleventh Place
Equinox,Madison MUFAbots U20X,13,10,"08/08/2022, 10:45",11th Place,Final
bracket,Thirteenth Place 
Hypnosis,Kalamazoo United Forte,15,6,"08/08/2022, 10:45",13th Place,Final
Virginia Vanguard,Hypnosis,7,15,"08/08/2022, 08:30",13th Semifinals,Final
Maryland Blackout,Kalamazoo United Forte,9,10,"08/08/2022, 08:30",13th Semifinals,Final
bracket,Fifteenth Place
Virginia Vanguard,Maryland Blackout,8,9,"08/08/2022, 10:45",15th Place,Final
bracket,Seventeenth Place 
Albany Anarchy,NWA White Tails,9,6,"08/08/2022, 10:45",17th Place,Final
b,r,e,a,k
