Bring the Huckus 7,College - Women ,25,2,2017
West Windsor Township,NJ,2017-02-25,2017-02-26
https://play.usaultimate.org/events/Bring-the-Huckus-7/schedule/Women/CollegeWomen/
West Chester,1
SUNY-Albany,Skidmore,4,9,"02/25/2017, 12:00",Pool E,Final
pool,Pool F
Edinboro,Wellesley,5,8,"02/25/2017, 09:00",Pool F,Final
SUNY-Buffalo,Wellesley,6,9,"02/25/2017, 10:30",Pool F,Final
Edinboro,SUNY-Buffalo,4,10,"02/25/2017, 12:00",Pool F,Final
SUNY-Buffalo,Rowan,13,3,"02/25/2017, 16:00",Pool F,Final
Edinboro,Rowan,7,2,"02/25/2017, 17:30",Pool F,Final
Wellesley,Rowan,13,2,"02/25/2017, 19:00",Pool F,Final
b,r,e,a,k
clusters,Saturday - CO
cluster,CO
SUNY Cortland,Edinboro,F,F,"02/25/2017, 13:30",,Cancelled
Skidmore,Wellesley,7,8,"02/25/2017, 13:30",,Final
DEVYL,SUNY-Buffalo,10,8,"02/25/2017, 13:30",,Final
West Chester,Swarthmore,13,0,"02/25/2017, 15:00",,Final
Williams,Amherst,7,5,"02/25/2017, 15:00",,Final
Carnegie Mellon,Lehigh,F,F,"02/25/2017, 15:00",,Cancelled
Bowdoin,Haverford,8,1,"02/25/2017, 15:00",,Final
Boston University,College of New Jersey,6,4,"02/25/2017, 15:00",,Final
SUNY-Albany,Rowan,11,7,"02/25/2017, 20:30",,Final
NYU,Hofstra,4,9,"02/25/2017, 22:00",,Final
b,r,e,a,k
brackets,Championship
bracket,Championship
West Chester,Williams,7,10,"02/26/2017, 13:30",Championship,Final
West Chester,Amherst,10,4,"02/26/2017, 12:00",Semis,Final
Carnegie Mellon,Williams,2,11,"02/26/2017, 12:00",Semis,Final
West Chester,Boston University,10,6,"02/26/2017, 10:30",Quarters,Final
Amherst,Bowdoin,7,4,"02/26/2017, 10:30",Quarters,Final
Carnegie Mellon,Wellesley,7,4,"02/26/2017, 10:30",Quarters,Final
Haverford,Williams,3,8,"02/26/2017, 10:30",Quarters,Final
Lehigh,Boston University,5,7,"02/26/2017, 09:00",Play In,Final
Bowdoin,DEVYL,8,3,"02/26/2017, 09:00",Play In,Final
Swarthmore,Wellesley,7,10,"02/26/2017, 09:00",Play In,Final
Amherst,Skidmore,8,7,"02/26/2017, 09:00",Play In,Final
Carnegie Mellon,Hofstra,10,5,"02/26/2017, 16:00",Play In,Final
Haverford,College of New Jersey,12,6,"02/26/2017, 09:00",Play In,Final
bracket,9th Place
Skidmore,Lehigh,7,6,"02/26/2017, 13:30",9th,Final
DEVYL,Skidmore,7,10,"02/26/2017, 12:00",9th-Semis,Final
Lehigh,Hofstra,6,5,"02/26/2017, 19:00",9th-Semis,Final
College of New Jersey,Skidmore,5,9,"02/26/2017, 10:30",9th-Play In,Final
Swarthmore,Lehigh,5,8,"02/26/2017, 10:30",9th-Play In,Final
bracket,11th Place
DEVYL,Hofstra,3,9,"02/26/2017, 20:30",11th Place,Final
bracket,5th Place
Bowdoin,Haverford,8,2,"02/26/2017, 13:30",5th Place,Final
Boston University,Bowdoin,1,8,"02/26/2017, 12:00",5th-Semis,Final
Wellesley,Haverford,9,10,"02/26/2017, 12:00",5th-Semis,Final
bracket,3rd Place
Amherst,Carnegie Mellon,9,6,"02/26/2017, 13:30",3rd Place,Final
bracket,7th Place
Boston University,Wellesley,0,0,"02/26/2017, 13:30",7th Place,Cancelled
b,r,e,a,k
brackets,15th Place
bracket,15th Bracket
SUNY-Albany,Northeastern (B),8,5,"02/26/2017, 13:30",15th,Final
NYU,SUNY-Albany,6,9,"02/26/2017, 12:00",15th-Semis,Final
Northeastern (B),Drexel,8,3,"02/26/2017, 12:00",15th-Semis,Final
NYU,Edinboro,8,3,"02/26/2017, 10:30",15th-Quarters,Final
Ithaca,SUNY-Albany,3,9,"02/26/2017, 09:00",15th-Quarters,Final
Northeastern (B),SUNY-Buffalo,7,6,"02/26/2017, 09:00",15th-Quarters,Final
Drexel,Rowan,7,5,"02/26/2017, 17:30",15th-Quarters,Final
Drexel,SUNY Cortland,4,1,"02/26/2017, 09:00",15th-Play In,Final
Syracuse,Edinboro,6,8,"02/26/2017, 09:00",15th-Play In,Final
bracket,19th Place
Edinboro,SUNY-Buffalo,0,1,"02/26/2017, 12:00",19th Place,Final
Edinboro,Ithaca,1,0,"02/26/2017, 10:30",19th Semis,Final
SUNY-Buffalo,Rowan,8,1,"02/26/2017, 17:30",19th Semis,Final
bracket,23rd Place
SUNY Cortland,Syracuse,4,5,"02/26/2017, 13:30",23rd Place,Final
bracket,17th Place
NYU,Drexel,9,4,"02/26/2017, 13:30",17th Place,Final
bracket,21st Place
Ithaca,Rowan,0,1,"02/26/2017, 19:00",21st Place,Final
b,r,e,a,k
