2017 Capital Mixed Sectionals,Club - Mixed ,9,9,2017
Fredericksburg,VA,2017-09-09,2017-09-10
https://play.usaultimate.org/events/2017-Capital-Mixed-Sectionals/schedule/Mixed/Club-Mixed
Ambiguous Grey,1
Tyrannis,MxD,13,6,"09/09/2017, 08:30",Pool B,Final
Sparkle Ponies,MxD,13,0,"09/09/2017, 10:15",Pool B,Final
Tyrannis,Heavy Flow,13,1,"09/09/2017, 10:15",Pool B,Final
Sparkle Ponies,Flat Earth Club,13,1,"09/09/2017, 12:00",Pool B,Final
MxD,Heavy Flow,10,8,"09/09/2017, 12:00",Pool B,Final
Sparkle Ponies,Heavy Flow,13,2,"09/09/2017, 13:45",Pool B,Final
Tyrannis,Flat Earth Club,13,5,"09/09/2017, 13:45",Pool B,Final
Sparkle Ponies,Tyrannis,13,9,"09/09/2017, 15:30",Pool B,Final
MxD,Flat Earth Club,11,5,"09/09/2017, 15:30",Pool B,Final
pool,Pool C
Los Penguinos,Chef Curry with the Pot,6,13,"09/09/2017, 08:30",Pool C,Final
8 Bit Heroes,Stormborn,11,12,"09/09/2017, 08:30",Pool C,Final
Ant Madness,Stormborn,12,5,"09/09/2017, 10:15",Pool C,Final
8 Bit Heroes,Los Penguinos,13,9,"09/09/2017, 10:15",Pool C,Final
Ant Madness,Chef Curry with the Pot,9,13,"09/09/2017, 12:00",Pool C,Final
Stormborn,Los Penguinos,11,6,"09/09/2017, 12:00",Pool C,Final
Ant Madness,Los Penguinos,13,3,"09/09/2017, 13:45",Pool C,Final
8 Bit Heroes,Chef Curry with the Pot,12,8,"09/09/2017, 13:45",Pool C,Final
Ant Madness,8 Bit Heroes,13,6,"09/09/2017, 15:30",Pool C,Final
Stormborn,Chef Curry with the Pot,6,12,"09/09/2017, 15:30",Pool C,Final
pool,Pool D
American Hyperbole,Fireball,10,14,"09/09/2017, 10:15",Pool D,Final
Legion,District Cocktails,13,11,"09/09/2017, 10:15",Pool D,Final
American Hyperbole,District Cocktails,15,7,"09/09/2017, 12:15",Pool D,Final
Legion,Fireball,11,14,"09/09/2017, 12:15",Pool D,Final
American Hyperbole,Legion,15,10,"09/09/2017, 14:15",Pool D,Final
Fireball,District Cocktails,15,11,"09/09/2017, 14:15",Pool D,Final
b,r,e,a,k
brackets,Bracket Play
bracket,1st Place
Ambiguous Grey,Sparkle Ponies,13,11,"09/10/2017, 14:30",1st Place R3,Final
Ambiguous Grey,Fireball,15,7,"09/10/2017, 10:30",1st Place R1,Final
Chef Curry with the Pot,Sparkle Ponies,7,15,"09/10/2017, 10:30",1st Place R1,Final
bracket,2nd & 3rd Place
Fireball,Sparkle Ponies,15,4,"09/09/2017, 16:30",2nd & 3rd R4,Final
Chef Curry with the Pot,Fireball,10,15,"09/10/2017, 14:30",2nd & 3rd R3,Final
Chef Curry with the Pot,LORD,14,8,"09/10/2017, 12:30",2nd & 3rd R2,Final
Ant Madness,Fireball,12,14,"09/10/2017, 12:30",2nd & 3rd R2,Final
LORD,American Hyperbole,13,12,"09/10/2017, 10:30",2nd & 3rd R1,Final
Ant Madness,Tyrannis,15,8,"09/10/2017, 10:30",2nd & 3rd R1,Final
bracket,4th & 5th Place
LORD,Chef Curry with the Pot,15,13,"09/10/2017, 16:30",4th & 5th Place R4,Final
Ant Madness,LORD,9,11,"09/10/2017, 14:30",4th & 5th Place R3,Final
bracket,6th & 7th Place
American Hyperbole,Ant Madness,12,13,"09/10/2017, 16:30",6th & 7th Place R4,Final
Legion,American Hyperbole,9,13,"09/10/2017, 14:30",6th & 7th Place R3,Final
Tyrannis,Legion,10,11,"09/10/2017, 12:30",6th & 7th Place R2,Final
Stormborn,American Hyperbole,7,14,"09/10/2017, 12:30",6th & 7th Place R2,Final
Rat City,Legion,10,12,"09/10/2017, 10:30",6th & 7th Place R1,Final
Stormborn,MxD,13,10,"09/10/2017, 10:30",6th & 7th Place R1,Final
bracket,8th & 9th Place
Tyrannis,Legion,15,8,"09/10/2017, 16:30",8th & 9th Place R4,Final
Stormborn,Tyrannis,7,12,"09/10/2017, 14:30",8th & 9th Place R3,Final
bracket,10th & 11th
8 Bit Heroes,Stormborn,1,0,"09/10/2017, 16:30",10th & 11th Place R4,Final
District Cocktails,8 Bit Heroes,10,13,"09/10/2017, 14:30",10th & 11th Place R3,Final
MxD,District Cocktails,9,13,"09/10/2017, 12:30",10th & 11th Place R2,Final
8 Bit Heroes,Rat City,15,11,"09/10/2017, 12:30",10th & 11th Place R2,Final
The Greatest Team in America,District Cocktails,4,15,"09/10/2017, 10:30",10th & 11th Place R1,Final
8 Bit Heroes,Heavy Flow,15,9,"09/10/2017, 10:30",10th & 11th Place R1,Final
bracket,12th & 13th
MxD,District Cocktails,0,1,"09/10/2017, 16:30",12th & 13th Place R4,Final
Rat City,MxD,0,1,"09/10/2017, 14:30",12th & 13th Place R3,Final
bracket,"14th, 15th, 16th"
Heavy Flow,Rat City,1,0,"09/10/2017, 16:30","14, 15, 16 R4",Final
Heavy Flow,The Greatest Team in America,13,9,"09/10/2017, 12:30","14,15,16 R2",Final
b,r,e,a,k
pools,17-19 Round Robin
pool,Pool E
Flat Earth Club,Los Penguinos,11,15,"09/10/2017, 10:30",Pool E,Final
Pandatime,Los Penguinos,3,15,"09/10/2017, 12:30",Pool E,Final
Pandatime,Flat Earth Club,2,15,"09/10/2017, 14:30",Pool E,Final
b,r,e,a,k
