TCT Select Flight Invite 2017,Club - Mixed ,29,7,2017
Columbus,OH,2017-07-29,2017-07-30
https://play.usaultimate.org/events/TCT-Select-Flight-Invite-2017/schedule/Mixed/Club-Mixed
Wild Card,1
UNION,UPA,9,11,"07/30/2017, 10:00",9th Place Finals,Final
BW Ultimate,UNION,8,11,"07/30/2017, 08:00",9th Place Semis,Final
UPA,Minnesota Star Power,12,11,"07/30/2017, 08:00",9th Place Semis,Final
bracket,11th Place
BW Ultimate,Minnesota Star Power,13,4,"07/30/2017, 10:00",11th Place Finals,Final
b,r,e,a,k
pools,13th-16th Place Round-Robin
pool,13th-16th Placement
Chalice,Bird,9,12,"07/29/2017, 16:00",13th-16th Placement,Final
American Hyperbole,Crash,11,10,"07/29/2017, 16:00",13th-16th Placement,Final
Chalice,Crash,7,13,"07/30/2017, 12:00",13th-16th Placement,Final
American Hyperbole,Bird,8,13,"07/30/2017, 12:00",13th-16th Placement,Final
Chalice,American Hyperbole,11,13,"07/30/2017, 14:00",13th-16th Placement,Final
Bird,Crash,13,14,"07/30/2017, 14:00",13th-16th Placement,Final
b,r,e,a,k
