2017 USA Ultimate Masters Championships,Grand Masters - Men ,21,7,2017
Aurora,CO,2017-07-21,2017-07-23
https://play.usaultimate.org/events/2017-USA-Ultimate-Masters-Championships/schedule/Men/grand-masters-men/
Johnny Walker,1
Shadows,No Country,11,15,"07/23/2017, 11:15",3rd Place Final,Final
bracket,5th Place Bracket
Kalakala,ShutDown,13,14,"07/23/2017, 09:00",5th Place Final,Final
Old Man Winter,Kalakala,11,13,"07/22/2017, 13:30",5th Place Semis,Final
Reckon,ShutDown,11,15,"07/22/2017, 13:30",5th Place Semis,Final
bracket,7th Place
Old Man Winter,Reckon,9,15,"07/23/2017, 09:00",7th Place Final,Final
bracket,9th Place Bracket
Hootenanny,Bighorn,6,15,"07/23/2017, 09:00",9th Place Final,Final
Hootenanny,Endless Sunset,15,10,"07/22/2017, 13:30",9th Place Semis,Final
Sick Hammers,Bighorn,13,15,"07/22/2017, 13:30",9th Place Semis,Final
Hootenanny,Old Growth (OG),15,10,"07/22/2017, 11:15",9th Place Quarters,Final
Endless Sunset,projectile dysfunction team HELM,15,10,"07/22/2017, 11:15",9th Place Quarters,Final
GrandMaster Flash,Sick Hammers,5,15,"07/22/2017, 11:15",9th Place Quarters,Final
Bighorn,Critical Mass,15,10,"07/22/2017, 11:15",9th Place Quarters,Final
bracket,11th Place
Endless Sunset,Sick Hammers,16,15,"07/23/2017, 09:00",11th Place Final,Final
bracket,13th Place Bracket
Old Growth (OG),GrandMaster Flash,11,15,"07/23/2017, 09:00",13th Place Final,Final
Old Growth (OG),projectile dysfunction team HELM,13,7,"07/22/2017, 15:45",13th Place Semis,Final
GrandMaster Flash,Critical Mass,15,8,"07/22/2017, 15:45",13th Place Semis,Final
bracket,15th Place
projectile dysfunction team HELM,Critical Mass,15,11,"07/23/2017, 09:00",15th Place Final,Final
b,r,e,a,k
