2017 Texas Mixed Sectionals,Club - Mixed ,9,9,2017
Round Rock,TX,2017-09-09,2017-09-10
https://play.usaultimate.org/events/2017-Texas-Mixed-Sectionals/schedule/Mixed/Club-Mixed
Cosa Nostra,1
5,Dylan Cox
7,Elyse Hall
09,Rob Seidenberg
13,Timothy (Bonesaw!) Kepner
14,Mike Peterson
26,Carly Atwell
28,Rachel Cox
36,Zoe  Czarnecki
44,Jason Best
b,r,e,a,k
Mud Turtles,13
teamInfo,,"Houston, Texas",,,
0,Bernard Barcio
0,Evelyn Kue
0,Jessica Rodriguez
0,Jessica Rhodes
0,Johnathan Tran
0,Alix Pivetta
0,Marissa Torres
1,Michael Conlin
2,Amanda Postolowski
5,Michael Arnold
7,Michael Woodbeck
16,Andrew Robbins
17,Madison Broddle
17,Chris McClean
27,Luke Obregon
29,Kevin Valenti
63,Christopher Fisher
69,Clay Waldrop
b,r,e,a,k
TEAM_NAME_NOT_FOUND,16
b,r,e,a,k
s,t,a,g,e,s
pools,Pool Play
pool,Pool A
Freetail,Flicks and Chill,16,11,"09/09/2017, 09:00",Pool A,Final
Cosa Nostra,Flicks and Chill,17,6,"09/09/2017, 11:00",Pool A,Final
Cosa Nostra,Freetail,16,8,"09/09/2017, 13:00",Pool A,Final
pool,Pool B
Sellout,Balloon,15,8,"09/09/2017, 09:00",Pool B,Final
Wildstyle,HORUS ULTIMATE TEAM,14,13,"09/09/2017, 09:00",Pool B,Final
Sellout,HORUS ULTIMATE TEAM,15,6,"09/09/2017, 11:00",Pool B,Final
Wildstyle,Balloon,12,14,"09/09/2017, 11:00",Pool B,Final
Sellout,Wildstyle,15,2,"09/09/2017, 13:00",Pool B,Final
Balloon,HORUS ULTIMATE TEAM,15,6,"09/09/2017, 13:00",Pool B,Final
pool,Pool C
Risky Business,Tlacuaches,15,8,"09/09/2017, 09:00",Pool C,Final
Moontower,Sun Bats,15,6,"09/09/2017, 09:00",Pool C,Final
Risky Business,Sun Bats,15,4,"09/09/2017, 11:00",Pool C,Final
Moontower,Tlacuaches,15,5,"09/09/2017, 11:00",Pool C,Final
Risky Business,Moontower,15,8,"09/09/2017, 13:00",Pool C,Final
Tlacuaches,Sun Bats,15,6,"09/09/2017, 13:00",Pool C,Final
pool,Pool D
tHUMP,The Tossers,15,9,"09/09/2017, 09:00",Pool D,Final
Tex Mix,Mud Turtles,13,5,"09/09/2017, 09:00",Pool D,Final
tHUMP,Mud Turtles,15,4,"09/09/2017, 11:00",Pool D,Final
Tex Mix,The Tossers,15,10,"09/09/2017, 11:00",Pool D,Final
tHUMP,Tex Mix,15,4,"09/09/2017, 13:00",Pool D,Final
The Tossers,Mud Turtles,W,L,"09/09/2017, 13:00",Pool D,Final
b,r,e,a,k
brackets,1st Place Bracket
bracket,Finals
Cosa Nostra,Sellout,14,11,"09/10/2017, 11:00",1st Place,Final
Cosa Nostra,Moontower,15,5,"09/10/2017, 09:00",1st Place Semi-Finals,Final
Risky Business,Sellout,0,1,"09/10/2017, 09:00",1st Place Semi-Finals,Final
Cosa Nostra,Balloon,15,6,"09/09/2017, 15:00",1st Place Quarter-FInals,Final
Moontower,tHUMP,13,10,"09/09/2017, 15:00",1st Place Quarter-FInals,Final
Risky Business,Tex Mix,14,12,"09/09/2017, 15:00",1st Place Quarter-FInals,Final
Freetail,Sellout,10,15,"09/09/2017, 15:00",1st Place Quarter-FInals,Final
b,r,e,a,k
brackets,2nd Place Bracket
bracket,Finals
Sellout,tHUMP,13,10,"09/10/2017, 15:00",2nd Place,Final
tHUMP,Tex Mix,15,7,"09/10/2017, 13:00",2nd Place Semi-Finals,Final
Risky Business,tHUMP,8,14,"09/10/2017, 11:00",2nd Place Quarter-Finals,Final
Tex Mix,Moontower,13,11,"09/10/2017, 11:00",2nd Place Quarter-Finals,Final
Balloon,tHUMP,6,15,"09/10/2017, 09:00",2nd Place Pre Quarter-Finals,Final
Tex Mix,Freetail,14,13,"09/10/2017, 09:00",2nd Place Pre Quarter-Finals,Final
b,r,e,a,k
brackets,4th Place Bracket
bracket,Finals
Tex Mix,Risky Business,13,15,"09/10/2017, 15:00",4th Place,Final
Moontower,Risky Business,10,14,"09/10/2017, 13:00",4th Place Semi-Finals,Final
b,r,e,a,k
brackets,6th Place Bracket
bracket,Finals
Moontower,Freetail,15,10,"09/10/2017, 15:00",6th Place,Final
Flicks and Chill,Freetail,14,15,"09/10/2017, 13:00",6th Place Semi-Finals,Final
Balloon,Flicks and Chill,9,15,"09/10/2017, 11:00",6th Place Quarter-Finals,Final
Wildstyle,Freetail,8,15,"09/10/2017, 11:00",6th Place Quarter-Finals,Final
Flicks and Chill,The Tossers,15,8,"09/10/2017, 09:00",6th Place Pre Quarter-FInals,Final
Tlacuaches,Wildstyle,0,1,"09/10/2017, 09:00",6th Place Pre Quarter-FInals,Final
Flicks and Chill,HORUS ULTIMATE TEAM,15,6,"09/09/2017, 15:00",6th Place Play-ins,Final
Sun Bats,The Tossers,4,15,"09/09/2017, 15:00",6th Place Play-ins,Final
Tlacuaches,Mud Turtles,1,0,"09/09/2017, 15:00",6th Place Play-ins,Final
TEAM_NAME_NOT_FOUND,Wildstyle,0,1,"09/09/2017, 00:00",6th Place Play-ins,Final
b,r,e,a,k
brackets,Consolation
bracket,11th Place
The Tossers,Tlacuaches,1,0,"09/03/2017, 11:00",11th Place,Final
bracket,13th Place
HORUS ULTIMATE TEAM,Mud Turtles,8,15,"09/10/2017, 11:00",13th Place,Final
HORUS ULTIMATE TEAM,Sun Bats,1,0,"09/10/2017, 09:00",13th Place Semi-Finals,Final
Mud Turtles,TEAM_NAME_NOT_FOUND,1,0,"09/09/2017, 00:00",13th Place Semi-Finals,Final
bracket,15th Place
b,r,e,a,k
