Old Capitol Open 2017,College - Men ,25,3,2017
Marion,IA,2017-03-25,2017-03-26
https://play.usaultimate.org/events/Old-Capitol-Open-2017/schedule/Men/CollegeMen/
Minnesota-Duluth,1
Macalester,Wisconsin- La Crosse,13,6,"03/26/2017, 13:00",7th Place,Final
bracket,9th Place Bracket
Minnesota State-Mankato,Western Michigan,13,11,"03/26/2017, 13:00",9th Place,Final
bracket,11th Place Game
Northern Iowa,Washington University (B),13,4,"03/26/2017, 13:00",11th Place,Final
bracket,13th Place Bracket
Creighton,Bethel,11,9,"03/26/2017, 13:00",13th Place,Final
bracket,15th Place Game
Drake,Olivet Nazarene,13,10,"03/26/2017, 13:00",15th Place,Final
bracket,17th Place Bracket
Michigan Tech,Cornell College,13,1,"03/26/2017, 13:00",17th Place Game,Final
bracket,19th Place Bracket
Toledo,Coe,13,8,"03/26/2017, 13:00",19th Place Game,Final
b,r,e,a,k
