Philly Open 2016,Club - Mixed ,6,8,2016
https://play.usaultimate.org/events/Philly-Open-2016/schedule/Mixed/Club-Mixed
Mixed Nuts,1
12,Terence To
13,Adam Wesley
14,Victoria Higgins
15,Jason Chin
17,Kevin Donlin
19,Kevin Petsky
35,Gary Delia
73,Bohao Liu
80,Christopher Cruz
94,Thomas Lishness
95,Connor Dougherty
b,r,e,a,k
Crucible,17
0,ANDREW MCCLURE
6,MIKE VANDERVOORT
7,Cory Ruff
8,Ronald Persico
9,Katelyn Bozich
19,Daniel Morrison
20,Andrew Turgeon
21,CLAYTON CHENG
22,Mallory Griffith
23,Matthew McDaniel
24,Yuan Chen
25,Rachel Olszewski
27,STEVE OLDRATI
33,Alex Carpenter
33,Taha Udyawar
37,Nick Bozich
38,Stephanie Clark
42,Rachel Parlock
46,Marisa DelSignore
47,CAROLYN NORWOOD
52,Glen Smithberger
56,Julia Lekht
59,Michael Driskell
80,Jay Walker
89,Eric Petrow
96,Eva Lucchino
b,r,e,a,k
8 Bit Heroes,5
0,Louis Kline
0,Robert McClughan
0,John Giannini
0,Samantha Palko
0,Claire Scott
0,Patrick McMullen
0,Emily Boegner
0,Chase Turner
0,Alvin Matute
0,Daniel Kaste
0,VICTORIA Cramer
0,Bryson Cramer
3,Bryan Nadeau
4,Geoffrey Chan
5,JULIA FAHRMEIER
7,Allyson Golightly
8,Anne Tanenbaum
9,Anne Aldrich
14,Samuel Young
15,Zach VanDerwerker
16,Diana Burke
17,Elly Young
28,Andrea Beck
34,Kevin Boyd
42,Joshua Kim
67,ADAM BRYANT
84,Thomas Riggs
99,George Wright
b,r,e,a,k
s,t,a,g,e,s
pools,Pool Play
pool,Pool A
Powermove,Varsity,11,7,"08/06/2016, 10:20",Pool A
Buffalo Lake Effect,BITMAP,10,8,"08/06/2016, 10:20",Pool A
Mixed Nuts,I-79,11,4,"08/06/2016, 10:20",Pool A
Mixed Nuts,Varsity,10,5,"08/06/2016, 13:00",Pool A
Powermove,BITMAP,11,5,"08/06/2016, 13:00",Pool A
Buffalo Lake Effect,I-79,10,4,"08/06/2016, 13:00",Pool A
Varsity,I-79,9,7,"08/06/2016, 15:40",Pool A
Mixed Nuts,BITMAP,10,3,"08/06/2016, 15:40",Pool A
Powermove,Buffalo Lake Effect,11,3,"08/06/2016, 15:40",Pool A
Mixed Nuts,Buffalo Lake Effect,9,3,"08/06/2016, 18:20",Pool A
Powermove,I-79,11,6,"08/06/2016, 18:20",Pool A
BITMAP,Varsity,11,6,"08/06/2016, 18:20",Pool A
BITMAP,I-79,11,7,"08/07/2016, 10:00",Pool A
Mixed Nuts,Powermove,11,8,"08/07/2016, 10:00",Pool A
Buffalo Lake Effect,Varsity,11,7,"08/07/2016, 10:00",Pool A
pool,Pool B
Distelfink,Norfolkin' Around,11,2,"08/06/2016, 09:00",Pool B
Sabotage,Throws of Passion,11,4,"08/06/2016, 09:00",Pool B
Jughandle,Turnstyle,11,0,"08/06/2016, 09:00",Pool B
Jughandle,Norfolkin' Around,11,2,"08/06/2016, 11:40",Pool B
Distelfink,Throws of Passion,11,2,"08/06/2016, 11:40",Pool B
Sabotage,Turnstyle,11,6,"08/06/2016, 11:40",Pool B
Norfolkin' Around,Turnstyle,9,5,"08/06/2016, 14:20",Pool B
Jughandle,Throws of Passion,9,5,"08/06/2016, 14:20",Pool B
Distelfink,Sabotage,10,7,"08/06/2016, 14:20",Pool B
Jughandle,Sabotage,11,4,"08/07/2016, 08:30",Pool B
Distelfink,Turnstyle,11,3,"08/07/2016, 08:30",Pool B
Throws of Passion,Norfolkin' Around,11,3,"08/07/2016, 08:30",Pool B
Throws of Passion,Turnstyle,11,4,"08/07/2016, 10:00",Pool B
Jughandle,Distelfink,9,8,"08/07/2016, 10:00",Pool B
Sabotage,Norfolkin' Around,11,7,"08/07/2016, 10:00",Pool B
pool,Pool C
FLI,Stormborn,8,6,"08/06/2016, 10:20",Pool C
Legion,Lord Fairfax,10,2,"08/06/2016, 10:20",Pool C
FLI,Pandas,10,5,"08/06/2016, 13:00",Pool C
Legion,Stormborn,11,2,"08/06/2016, 13:00",Pool C
Lord Fairfax,Stormborn,9,6,"08/06/2016, 14:20",Pool C
FLI,Lord Fairfax,4,8,"08/06/2016, 15:40",Pool C
Legion,Pandas,6,9,"08/06/2016, 15:40",Pool C
Lord Fairfax,Pandas,11,8,"08/06/2016, 18:20",Pool C
FLI,Legion,9,11,"08/06/2016, 18:20",Pool C
Pandas,Stormborn,9,10,"08/07/2016, 08:30",Pool C
pool,Pool D
MxD,Crucible,7,5,"08/06/2016, 09:00",Pool D
8 Bit Heroes,The Bandits,6,11,"08/06/2016, 09:00",Pool D
MxD,Unlimited Swipes,9,4,"08/06/2016, 11:40",Pool D
8 Bit Heroes,Crucible,8,11,"08/06/2016, 11:40",Pool D
MxD,The Bandits,8,6,"08/06/2016, 14:20",Pool D
8 Bit Heroes,Unlimited Swipes,4,10,"08/06/2016, 14:20",Pool D
The Bandits,Unlimited Swipes,9,11,"08/06/2016, 15:40",Pool D
Unlimited Swipes,Crucible,9,11,"08/06/2016, 18:20",Pool D
MxD,8 Bit Heroes,9,7,"08/07/2016, 08:30",Pool D
The Bandits,Crucible,11,4,"08/07/2016, 08:30",Pool D
b,r,e,a,k
clusters,Crossover Games
cluster,C/D Pools Crossover
Legion,The Bandits,9,11,"08/07/2016, 11:30",
Lord Fairfax,MxD,3,11,"08/07/2016, 11:30",
FLI,Crucible,7,9,"08/07/2016, 11:30",
Stormborn,Unlimited Swipes,5,10,"08/07/2016, 11:30",
b,r,e,a,k
brackets,Bracket Play
bracket,1st Place ~ Champions!!
Mixed Nuts,Jughandle,8,9,"08/07/2016, 14:30",1st Place Finals
Mixed Nuts,MxD,9,8,"08/07/2016, 13:00",1st Place Semis
Jughandle,The Bandits,11,7,"08/07/2016, 13:00",1st Place Semis
bracket,5th Place Bracket
Legion,Powermove,0,0,"08/07/2016, 00:00",WON'T BE PLAYED
Legion,Lord Fairfax,11,8,"08/07/2016, 14:30",5th Place Semis
Powermove,Distelfink,11,8,"08/07/2016, 13:00",5th Place Semis
bracket,9th Place Bracket
Unlimited Swipes,Buffalo Lake Effect,0,0,"08/07/2016, 00:00",WON'T BE PLAYED
Crucible,Unlimited Swipes,6,8,"08/07/2016, 14:30",9th Place Semis
Buffalo Lake Effect,Sabotage,8,7,"08/07/2016, 13:00",9th Place Semis
bracket,13th Place Bracket
FLI,Throws of Passion,0,0,"08/07/2016, 00:00",WON'T BE PLAYED
FLI,Stormborn,11,2,"08/07/2016, 14:30",13th Place Semis
BITMAP,Throws of Passion,4,7,"08/07/2016, 11:30",13th Place Semis
bracket,17th Place Bracket
8 Bit Heroes,Varsity,0,0,"08/07/2016, 00:00",WON'T BE PLAYED
Pandas,8 Bit Heroes,6,11,"08/07/2016, 11:30",17th Place Semis
Varsity,Norfolkin' Around,11,3,"08/07/2016, 13:00",17th Place Semis
bracket,21st Place Bracket
I-79,Turnstyle,11,3,"08/07/2016, 13:00",21st Place Finals
b,r,e,a,k
