22nd Annual Layout Pigout 2016,College - Men ,19,3,2016
Haverford,PA,2016-03-19,2016-03-20
https://play.usaultimate.org/events/22nd-Annual-Layout-Pigout-2016/schedule/Men/CollegeMen/
Richmond,5
Richmond,Brandeis,15,10,"03/20/2016, 14:30",Finals,Final
Richmond,Haverford,13,7,"03/20/2016, 12:20",Semi Finals,Final
Williams,Brandeis,8,13,"03/20/2016, 12:20",Semi Finals,Final
SUNY-Geneseo,Richmond,7,15,"03/20/2016, 22:40",Quarter Finals,Final
RIT,Haverford,8,11,"03/20/2016, 10:40",Quarter Finals,Final
Amherst,Williams,10,14,"03/20/2016, 10:40",Quarter Finals,Final
Bowdoin,Brandeis,8,13,"03/20/2016, 10:40",Quarter Finals,Final
SUNY-Geneseo,East Carolina,12,9,"03/20/2016, 21:00",Pre-Quarters,Final
Franciscan,RIT,10,15,"03/20/2016, 09:00",Pre-Quarters,Final
Amherst,Muhlenberg,13,5,"03/20/2016, 09:00",Pre-Quarters,Final
Bowdoin,St Joseph's,15,9,"03/20/2016, 09:00",Pre-Quarters,Final
bracket,5th Place
RIT,Bowdoin,0,1,"03/20/2016, 14:00",5th Place,Final
SUNY-Geneseo,RIT,8,15,"03/21/2016, 12:20",5th Place Semis,Final
Amherst,Bowdoin,10,14,"03/20/2016, 12:20",5th Place Semis,Final
bracket,3rd Place
Haverford,Williams,8,11,"03/20/2016, 14:00",3rd Place,Final
bracket,7th Place
SUNY-Geneseo,Amherst,0,1,"03/21/2016, 02:00",7th Place,Final
b,r,e,a,k
brackets,9th Place Bracket
bracket,9th Place
Franciscan,Muhlenberg,15,10,"03/20/2016, 12:20",9th Place,Final
East Carolina,Franciscan,10,15,"03/20/2016, 10:40",9th Place Semis,Final
Muhlenberg,St Joseph's,15,5,"03/20/2016, 10:40",9th Place Semis,Final
bracket,11th Place
East Carolina,St Joseph's,1,0,"03/20/2016, 12:20",11th Place,Final
b,r,e,a,k
brackets,13th Place Bracket
bracket,13th Place Bracket
Emerson,Philadelphia,11,9,"03/20/2016, 12:20",13th Place,Final
Swarthmore,Emerson,12,13,"03/20/2016, 10:40",13th Place Semis,Final
Philadelphia,Brown (B),7,6,"03/20/2016, 10:40",13th Place Semis,Final
Swarthmore,Ursinus,14,5,"03/20/2016, 15:00",13th Place Quarters,Final
Gettysburg,Emerson,9,15,"03/20/2016, 09:00",13th Place Quarters,Final
Philadelphia,Rider,14,4,"03/20/2016, 09:00",13th Place Quarters,Final
Brown (B),West Chester (B),12,11,"03/20/2016, 09:00",13th Place Quarters,Final
bracket,17th Place Bracket
Gettysburg,West Chester (B),15,0,"03/20/2016, 12:20",17th Place,Final
Ursinus,Gettysburg,9,15,"03/20/2016, 16:40",17th Place Semis,Final
Rider,West Chester (B),10,12,"03/20/2016, 10:40",17th Place Semis,Final
bracket,15th Place
Swarthmore,Brown (B),10,6,"03/20/2016, 12:20",15th Place,Final
bracket,19th Place
Ursinus,Rider,13,6,"03/20/2016, 18:20",19th Place,Final
b,r,e,a,k
