College Women's Centex 2016,College - Women ,19,3,2016
Pflugerville,TX,2016-03-19,2016-03-20
https://play.usaultimate.org/events/College-Womens-Centex-2016/schedule/Women/CollegeWomen/
California,5
0,Amanda Saunders
0,Junelle Henry
0,Audrey Michaud
2,Elizabeth Narezo
9,Hayley Cantway
11,Gabriella Cadena
21,Ellen Kryder
24,Kelsey McGilbert
b,r,e,a,k
Texas (B),37
0,Hannah DeVault
0,Cleo Stern
0,Melissa Mendez
0,Catherine Maldonado
0,Kat K
0,Kaley Marshall
0,Susana  Hart
0,Chloe Kim
0,MADELINE STAGER
7,Vanessa Garza
08,Sara Gomez
09,Kara Wright
11,Victoria Bellamy
13,Stephanie Pham
17,Anisha Borthakur
23,KELLY COLES
23,Briana Roberts
26,Laura Maria Gomez
88,Tiffany Wang
b,r,e,a,k
MIT,22
02,Annie Phan
04,Amelia Becker
05,Kelly Liu
10,Michelle Chen
11,Neerja Aggarwal
13,KRISTEN MURRAY
14,Julia Huang
15,Kimberly Yu
16,VICTORIA LOPEZ
18,Charlotte Zhu
22,Alina Li
23,Mary Zhong
24,MEAGHAN FITZGERALD
25,Alicia Lai
26,Stacy Mo
27,Saroja Erabelli
29,Audrey Li
30,Melissa Slaughter
31,Abigail Harvey
32,Jessica Ong
36,Amy Liu
b,r,e,a,k
Rochester,30
0,Maggie Liu
0,Molly Goldstein
0,ZENOBIA SMITH
0,GRACE GRANDE
0,Gillian Crysler
0,Anissa Elahi
0,Teddi Shapiro
0,Nina Fogel
0,Bethany Schmidt
0,Jien Ogawa
0,Marissa Cooper
0,Julia Silverman
0,KATE COWIE-HASKELL
0,Sarah Elderkin
0,Claire Kaiser
4,Fayth Kim
7,Luisa Maria Neves
10,Laura Mendomo
14,Michelle Landis
17,Alizah Barker
47,Jiayu Tian
b,r,e,a,k
Rice,27
2,Marie Hoeger
3,Samantha Paulsen
4,Emma Wine
5,Kelsey Nanneman
6,MARICA SHARASHENIDZE
8,CORDELIA BRAZILE
9,Malvika Govil
10,Angela Aie
11,Angela Yang
13,Molly Turner
14,Jacqueline Lee
17,Jackie Li
18,Julie  Doar
20,Valerie Pinillos
21,Victoria Yuan
22,Rebecca  Lopez
26,Brandi Ransom
27,Philippine Kugener
30,Annika Just
34,Erin Yang
42,Kimberly Wood
45,Emmie Ledesma
b,r,e,a,k
Miami,38
0,Serene Shehadeh
0,Laura Rosok
0,Veda Cruz
0,Cailin Hardell
0,Natalie Kaminsky
0,Daphne Forester
1,Sophie Watret
2,Jaclyn Verity
3,Sydne Anschutz
5,Monet Bennett
8,Miranda Goot
11,Kristi Fowler
12,Kerrie Heckel
13,Samantha Gangi
13,Sara Friedfertig
17,Megan Lee
55,Clarisse Lopez
b,r,e,a,k
Oklahoma,35
01,Kameron Boren
04,Caroline Bantug
07,Devin O'Connor
08,Megan Harju
10,Tram Le
11,Rachel Widner
13,Elizabeth Lankford
22,Megan Lietha
27,Kimberly Angelino
35,Tamiko Murphy
37,Madison Broddle
42,Lily Shu
b,r,e,a,k
Illinois,23
0,Rebekah Seyfert
0,Chesca Calicdan
2,Candace Brahm
8,Emily Sheridan
12,Amy Copper
14,Mikayla Yoder
16,Allison Chmaj
20,Shirley Saunders
21,Kelsey Thompson
22,Jamie Petroelje
27,Michelle Cabahug
32,Vivian Chu
36,Bianca Delgado
55,Natalie Stephan
b,r,e,a,k
Texas A&M,26
4,Barbara Smith
9,Erin Prucha
9,Michaela Davis
11,Corinne Empleo
12,Julia Popp
14,Josette Cervantes
