Boston Invite 2016,Club - Women ,25,6,2016
Devens,MA,2016-06-25,2016-06-26
https://play.usaultimate.org/events/Boston-Invite-2016/schedule/Women/Club-Women/
Brute Squad,1
Siege,Storm,13,3,"06/25/2016, 08:30",Elite B,Final
BENT,Hot Metal,13,8,"06/25/2016, 10:30",Elite B,Final
Stella,Siege,14,15,"06/25/2016, 10:30",Elite B,Final
Venus,Storm,13,6,"06/25/2016, 10:30",Elite B,Final
BENT,Siege,12,10,"06/25/2016, 12:30",Elite B,Final
Hot Metal,Storm,14,12,"06/25/2016, 12:30",Elite B,Final
Stella,Venus,13,10,"06/25/2016, 12:30",Elite B,Final
BENT,Storm,13,7,"06/25/2016, 14:30",Elite B,Final
Hot Metal,Stella,11,12,"06/25/2016, 14:30",Elite B,Final
Siege,Venus,13,3,"06/25/2016, 14:30",Elite B,Final
BENT,Venus,13,9,"06/26/2016, 08:30",Elite B,Final
Hot Metal,Siege,11,13,"06/26/2016, 08:30",Elite B,Final
Stella,Storm,13,8,"06/26/2016, 08:30",Elite B,Final
b,r,e,a,k
brackets,Elite Bracket Play
bracket,Championship
Brute Squad,BENT,15,3,"06/26/2016, 14:30",Finals,Final
Brute Squad,Siege,15,9,"06/26/2016, 12:30",Semis,Final
BENT,PPF,15,5,"06/26/2016, 12:30",Semis,Final
Brute Squad,Hot Metal,15,4,"06/26/2016, 10:30",Quarter Finals,Final
Siege,Pop,15,5,"06/26/2016, 10:30",Quarter Finals,Final
Green Means Go,BENT,13,14,"06/26/2016, 10:30",Quarter Finals,Final
Stella,PPF,10,15,"06/26/2016, 10:30",Quarter Finals,Final
bracket,3rd Place
Siege,PPF,15,4,"06/26/2016, 14:30",3rd Place,Final
bracket,5th Place
Green Means Go,Hot Metal,15,8,"06/26/2016, 14:30",5th Place,Final
Stella,Green Means Go,9,14,"06/26/2016, 12:30",5th/7th,Final
Pop,Hot Metal,11,12,"06/26/2016, 12:30",5th/7th,Final
bracket,7th Place
Pop,Stella,8,9,"06/26/2016, 14:30",7th Place,Final
bracket,9th Place
Storm,Venus,6,15,"06/26/2016, 12:30",9th Place,Final
Qub,Storm,12,15,"06/26/2016, 10:30",9th/11th,Final
Venus,Swagger,15,4,"06/26/2016, 10:30",9th/11th,Final
bracket,11th Place
Swagger,Qub,6,11,"06/26/2016, 12:30",11th Place,Final
b,r,e,a,k
pools,Easterns Pool Play
pool,Pool A
Vice,Pine Baroness,11,13,"06/25/2016, 08:30",Pool A,Final
Salt City Spirit,BUDA,13,10,"06/25/2016, 08:30",Pool A,Final
Boomslang,Mystik,12,15,"06/25/2016, 08:30",Pool A,Final
Vice,Salt City Spirit,13,2,"06/25/2016, 12:30",Pool A,Final
Pine Baroness,Boomslang,13,3,"06/25/2016, 12:30",Pool A,Final
BUDA,Mystik,8,13,"06/25/2016, 12:30",Pool A,Final
Vice,Boomslang,13,2,"06/25/2016, 14:30",Pool A,Final
Salt City Spirit,Mystik,11,9,"06/25/2016, 14:30",Pool A,Final
Pine Baroness,BUDA,13,2,"06/25/2016, 14:30",Pool A,Final
Boomslang,BUDA,11,9,"06/25/2016, 16:30",Pool A,Final
Salt City Spirit,Pine Baroness,5,14,"06/25/2016, 16:30",Pool A,Final
Vice,Mystik,13,3,"06/25/2016, 16:30",Pool A,Final
Vice,BUDA,13,3,"06/26/2016, 08:30",Pool A,Final
Pine Baroness,Mystik,13,3,"06/26/2016, 08:30",Pool A,Final
Salt City Spirit,Boomslang,13,5,"06/26/2016, 08:30",Pool A,Final
pool,Pool B
